The Biggest Douche in the Universe,John Edward,What?!
The Biggest Douche in the Universe,Alien 2,"[in purple robes, with yellow legs] You are the first nominee from the Milky Way Galaxy."
The Biggest Douche in the Universe,Alien 3,[with four arms] Congratulations!
The Biggest Douche in the Universe,Stan,"Oh, dude! [smiles]"
The Biggest Douche in the Universe,Alien 2,"If you step into our plabpa feed, we'll give you a first-class ride to the awards show. [the aliens escort him into the spacecraft]"
The Biggest Douche in the Universe,John Edward,"No, wait! I'm not a douche! I make people feel good about themselves! [the door closes and the spacecraft takes off] I give people resolution! [the craft is seen going straight up, then off in a random direction. Stan and Kyle look on, then they turn around]"
The Biggest Douche in the Universe,Stan,Now do you people believe me?
The Biggest Douche in the Universe,Man 12,Well I don't know. How did Edward know my father died in March?
The Biggest Douche in the Universe,Scene Description,"Denver International Airport, day. Cartman, Liane, and Chef exit the airport."
The Biggest Douche in the Universe,Cartman,God-damnit that was a long flight! I thought we'd never get out of stinky-ass smelly Scotland!
The Biggest Douche in the Universe,Liane,"Oh it's so good to have you acting like yourself again, sweetie."
The Biggest Douche in the Universe,Chef,"Well, come on. We'd better get Kenny back to his parents. Wait a minute. Who's got the pot roast?"
The Biggest Douche in the Universe,Liane,I thought you got it.
The Biggest Douche in the Universe,Cartman,It's still at baggage claim!
The Biggest Douche in the Universe,Chef,"Aw, damnit! Come on! [they go back into the airport] We've gotta find him! Kenny!"
The Biggest Douche in the Universe,Scene Description,Commercial.
The Biggest Douche in the Universe,Announcer,"Rob Schneider is a somewhat popular comedic actor [he's seen dancing around on the red carpet on his way into the Chinese theater] who seemed to have it all, [now sitting at his desk counting his millions] until one day, he came across a pot roast, [standing in line at Denver International, he sees the pot roast on a table. The roast is labeled ""Chef McElroy, South Park""] and his life changed forever. [he's taken the roast home and is carving it up and eating it. He senses something is wrong] Now he's sharing his body with an eight-year-old boy. [first, on a hobby elephant as the kids watch then, in Kenny's room getting dressed; then, waiting at the bus stop with Stan, Kyle, and Cartman] And he's about to find out [now getting on his desk and dancing] that being eight [now on all fours attempting to kiss Millie. Barbrady and partner show up; next, he's running down the street trying to escape the officers] ain't so great. [standing on the Kenny McCormick Memorial Square stage, suffers the same fate Kenny did back when Kathy Lee Gifford came to town - getting shot and then impaled on the South Park flag pole] Rob Schneider is KENNY! [title text and graphic come up] Rated PG-13."
The Biggest Douche in the Universe,Scene Description,Somewhere in space...
The Biggest Douche in the Universe,Announcer,"Live, from the space station Xion, in the Vuntlin Galaxy. It's the Biggest Douche In the Universe Award! [title graphic comes up. Inside, one finds that this is the 478th Annual Award. The auditorium is huge, with two balcony levels]"
The Biggest Douche in the Universe,Lion-head alien,This year's nominees are...
The Biggest Douche in the Universe,Bee alien,"[yellow, with nine eyes, two large wings, and a mouth at the very top of the body] Quaglar the Destructor, Andromeda Galaxy, Planet J-11. [applause. A massive shackled green alien roars]"
The Biggest Douche in the Universe,Lion-head alien,"Damanta Unit 5, J-Lax Galaxy, Planet Neeu. [a robot with a metallic sledgehammer]"
The Biggest Douche in the Universe,Damanta Unit 5,Derrr. [hammers himself on the head with the sledgehammer]
The Biggest Douche in the Universe,Bee alien,"John Edward, Milky Way Galaxy, Planet Earth. [some aliens around Edward start to cheer]"
The Biggest Douche in the Universe,John Edward,I'm not a douche!
