Cartman Finds Love,Scene Description,"Another hallway. Cartman hides around the corner and makes like he's real cool, wearing shades and with hands in his jacket pockets, one foot resting on the wall. Butters walks past him on the cross-hallway without noticing"
Cartman Finds Love,Cartman,"Psst Butters. Butters! [Butters stops and notices, then walks over to Cartman] At the end of PE class, tell Nichole that the gym teacher wants some towels delivered to the boys' locker room."
Cartman Finds Love,Butters,How come?
Cartman Finds Love,Cartman,"[takes off his shades] Let's just say that by this time tomorrow, Token and Nichole are gonna be practically married."
Cartman Finds Love,Butters,"Are you sure, Eric? I mean, maybe they just aren't meant for each other."
Cartman Finds Love,Cartman,"No no. [walks him towards the camera] Love is like taking a dump, Butters. Sometimes it works itself out, but sometimes, you've gotta give it a nice hard slimy push."
Cartman Finds Love,Scene Description,"The football field, after PE. Nichole packs her pompoms away as Butters arrives with towels for Nichole to deliver"
Cartman Finds Love,Butters,"Oh hey, Nichole? Coach wants you to take these to the boys' locker room. [hands her the towels]"
Cartman Finds Love,Nichole,"Oh, he does? [Butters nods] Okay."
Cartman Finds Love,Scene Description,"The boys' locker room. Token is taking a shower alone when Cartman leans in to check on him, then walks away. The other boys are changing into their regular clothes."
Cartman Finds Love,Cartman,"Guys! Guys, get outside! It's the Bat-Mobile! Bat-Mobile, you guys! [the boys make a break for the front of the school and exit the front doors]"
Cartman Finds Love,Scene Description,In front of the school.
Cartman Finds Love,Craig,Where?
Cartman Finds Love,Jimmy,I-I don't see a b-b-Bat-Mobile.
Cartman Finds Love,Scene Description,"Back at the gym, Nichole reaches the boys' locker room, opens the door, and backs into the room. Cartman looks from around a corner and sees her go in. He has a chain and lock with him, and as soon as the door closes he goes and locks them with the chain"
Cartman Finds Love,Nichole,"[keeps walking, unaware of what Cartman just did] Hello??"
Cartman Finds Love,Token,[walks in dressed in a towel and drying his face with another] AAA!
Cartman Finds Love,Nichole,OH! Oh gosh I'm so sorry!
Cartman Finds Love,Token,Where is everybody? What's goin' on??
Cartman Finds Love,Nichole,"Coach wanted me to... [winces] I'm sorry. [drops the towels, turns and goes back to the doors. She tries to open them but can't]"
Cartman Finds Love,Scene Description,"The neighborhood, afternoon. Some of the students are walking together: Kyle, Craig, and Timmy in back, Lola and Jenny up front."
Cartman Finds Love,Kyle,"Hey guys. Guys! Hold up. [runs up to the girls, who stop and turn to face him] Hey uhm, you're kind of friends with that Nichole girl, right?"
Cartman Finds Love,Jenny,Yeah?
Cartman Finds Love,Kyle,Well... what kind of stuff does she like? Do you know?
Cartman Finds Love,Lola,"She likes... movies, cats."
Cartman Finds Love,Jenny,[to Lola] She likes basketball.
Cartman Finds Love,Kyle,"Ogh. Oh cool, she likes basketball? That's perfect! Thanks, you guys!"
Cartman Finds Love,Lola,"Well- Hey Kyle, [he stops and returns] we were gonna head over to the mall. You wanna go with us?"
Cartman Finds Love,Kyle,"Oh. Uh, can't right now, but maybe another time. See ya! [runs off]"
Cartman Finds Love,Jenny,Guess he has a crush on Nichole.
Cartman Finds Love,Lola,[looks away for a moment] I don't think so. I heard Kyle swings for the same team.
Cartman Finds Love,Jenny,Really?!
Cartman Finds Love,Kyle,"[back with Craig and Timmy] It's perfect! I could take her to a basketball game. [looks back at the girls, who look at him, then giggle as he turns back to the boys] Man, I-I don't know what's happenin', but... it seems like all the girls are... kind of into me lately. [looks back at the girls and waves. They grin and wave back]"
Cartman Finds Love,Scene Description,"Back in the locker room, Token tries to get himself and Nichole out, but groans and doesn't get anywhere"
Cartman Finds Love,Token,Hey! In here! [punches the door]
Cartman Finds Love,Nichole,You think the janitors are still here?
Cartman Finds Love,Token,"Don't worry. It's gonna be okay. We've got water, and, and maybe somebody even left some food laying around. Come on. [takes her around the locker room. Nichole notices a table with food and some other things on it]"
Cartman Finds Love,Nichole,Look! [walks to the table] Somebody left a deli platter. [Token joins her] And board games. And massage oil.
Cartman Finds Love,Token,Oh... Good.
Cartman Finds Love,Scene Description,"The school, just after sunrise. Firefighters have arrived at the locker room and have snapped the chain in two with bolt cutters."
Cartman Finds Love,Scene Description,"The school, out front. The firefighters have taken Token and Nichole outside and left them alone as they leave."
Cartman Finds Love,Nichole,Well that was sure an interesting night.
Cartman Finds Love,Token,It sure was.
Cartman Finds Love,Nichole,"Hey, thanks a lot for making me feel safe in there. That could have been really scary."
Cartman Finds Love,Token,"Yeah. Now that it's over, I... I guess it was kind of fun. [smiles]"
Cartman Finds Love,Nichole,"Yeah, it kind of was. Maybe... I-I don't know. Maybe we should get some lunch tomorrow."
Cartman Finds Love,Cartman,"[hiding in the bushes, weeping silently] Oh my God, sooo cute."
Cartman Finds Love,Token,I'd like that.
Cartman Finds Love,Nichole,Cool. Well... thanks again. [they hug each other]
Cartman Finds Love,Cartman,[sweetly] Ohhhhh my God.
Cartman Finds Love,Cupid Me,"[pops out of Cartman's head] We did it, Eric. We found them each other's ray of sunshine."
Cartman Finds Love,Cartman,"You're my ray of sunshine, Cupid Me. [tickles the little cupid]"
Cartman Finds Love,Cupid Me,"Teeheeheehee. [pops back into Cartman's head, leaving behind a trail of hearts]"
Cartman Finds Love,Scene Description,"Montage. Cartman sings ""I Swear"" as Token and Nichole get to know each other better."
Cartman Finds Love,Cartman,"I see the questions in your eyes I know what's weighing on your mind You can be sure I know, my heart Girl I'll stand beside you through the years You'll only cry those happy tears And though I make mistakes, I'll never break your heart I swear by the moon and the stars in the sky I'll be there I swear (I swear) like a shadow that's by your side (Keep it down, girl) I'll be there For better or worse (better or worse), till death do us part (death do us part) I'll love you with every black beat of my heart And I swear. I swear. I s-we-e-e-ear Yeah, I swear. Straight up. What it do?"
Cartman Finds Love,Scene Description,"South Park Elementary, playground, recess. As the kids play and chatter, Token is pushing Nichole on a swing, then he tickles Nichole and she giggles. Cartman is rather pleased with how things are progressing between Token and Nichole"
Cartman Finds Love,Cartman,"Did you see that? Token was gonna push her, but then he tickled her instead. [behind him, on the merry-go-round, are Stan, Kenny, and Butters. Stan and Kenny are playing with a ball.]"
Cartman Finds Love,Stan,"Dude, why are you so into their relationship?"
Cartman Finds Love,Cartman,"I don't know, it's just so... perfect. [Stan and Kenny resume playing]"
Cartman Finds Love,Kyle,"You motherfucker! [runs into view and punches Cartman, who falls on his face]"
Cartman Finds Love,Cartman,"Kyle, Jesus Christ!"
Cartman Finds Love,Kyle,What the hell are you doing telling people that we're a gay couple?!
Cartman Finds Love,Cartman,"Oh, heard that through the grapevine, did you?"
Cartman Finds Love,Kyle,"The new girl liked me, and so you lied to her!"
Cartman Finds Love,Cartman,"Somebody had to intervene, Kyle! You were standing in the way of Token and Nichole! They belong together!"
Cartman Finds Love,Kyle,"Just because two people are the same race doesn't mean they belong together, you fat racist piece of fucking garbage!"
Cartman Finds Love,Cartman,"Oh! Oh, I'm a racist, huh?! I'm a racist! It's how nature works, Kyle! Look! Look, what about Luke Covina and Maria Sanchez? [points to a Hispanic couple riding play elephants] Is it a coincidence they ended up together?!"
Cartman Finds Love,Stan,"Actually, I heard they're together because they got locked in the school gym overnight a few months ago."
Cartman Finds Love,Cartman,Oh did they? I hadn't heard about that.
Cartman Finds Love,Cupid Me,"[reappears, and Cartman smiles at him] Teehee, that was us, remember, Eric?"
