Breast Cancer Show Ever,Pete,It's about freaking time. [Wendy walks up to Cartman and they face off]
Pandemic 2: The Startling,Michael Chertoff,"[ominously] Oh, I'm much more than that. Guinea bees, guinea rabbits, guineasaurus rexes, I am something much more evil! [he begins to transform. His mouth becomes a round orifice with a few teeth inside, then into a horrible beast with many teeth in his mouth and a pirate costume on his body, and finally, a giant guinea pirate] Arrrgh."
Pandemic 2: The Startling,Top Official,Guinea pirate! [dives into the bushes]
Pandemic 2: The Startling,Stan,Jesus Christ!
Pandemic 2: The Startling,Craig,"Sir, I promise you, I'm not going to ruin your plans. I'll just walk away. See? [walks onto a square with a pattern on it. The circle in the center of the pattern lights up and begins to rotate up and out. Two stone slabs jut out from the pillar. The golden idol's eyes light up. A beam of light goes from the idol's staff to one of the slabs, and two beams of lightning come out of Craig's eyes and strike the guinea pirate]"
Pandemic 2: The Startling,Michael Chertoff,"Dargh, no!"
Pandemic 2: The Startling,Craig,"Okay, now there's sparks shooting out of my eyes."
Pandemic 2: The Startling,Michael Chertoff:,"Argh, curse ye, Craig. Dar, argh. [the guinea pirate falls on its back and the beams turn off. The slabs go back into the pillar and the pillar rotates back into the ground. The four boys approach Craig, stunned at what just happened. Craig lets out a big sigh of relief]"
Pandemic 2: The Startling,Scene Description,"A picture of Craig is shown, and Gery Numan's ""Cars"" is playing in pan flute format"
Pandemic 2: The Startling,Craig,"My name is Craig Tucker. Last week I stopped a guinea pirate from taking over the earth. All the Peruvian flute bands were released, [a shot of that is shown; happy pan flute musicians] and drove the guinea creatures back to the Andes mountains. [shots from all over are shown, specifically South Park and New York City: pan flute bands are driving the guinea creatures away] Many people had died, but mankind had prevailed. [shots of the cleanup are shown. The Marshes are among the rescued] All over the world, survivors were found, living witnesses to the horror that had been seen."
Pandemic 2: The Startling,Randy,"[trying to show a video clip to two firemen] Here here, look, look! [there's no picture] What the? [opens the camera to check it out] Oh- ohhh I didn't have a tape in it. [someone else took a picture of that, though]"
Pandemic 2: The Startling,Craig,"The guinea pirate lived, but was taken to prison to live out the rest of his days. [the guinea pirate is taken to the Washington D.C. State Penitentiary strapped down to a flatbed truck. Next, a shot of Paris is shown: a Peruvian flute band plays at the Champs Elysées] And people all over the world learned to support their local Peruvian flute bands, and buy their CDs. For they protect us from the guinea creatures. As for me, I was returned home by Homeland Security. [Top Official 1 and Official 3 drop him off and smile at the joyful parents] My parents were sooo happy. [a shot of Craig looking at himself in the mirror, reflecting on the events surrounding his trip to Peru] I realized that we don't always have control over what happens to us. [a shot of Craig in bed, just after bedtime] We are but players on the stage of life. And I also learned to never listen when people come asking you for money. [a shot of the boys dressed as Mariachis standing at Craig's front porch talking to him; he slams the door in their faces.]"
Pandemic 2: The Startling,Scene Description,Craig's front yard. The boys walk away all pissed off
Pandemic 2: The Startling,Cartman,That guy's an asshole!
Pandemic 2: The Startling,Kyle,"Yeah, what a dick!"
Pandemic 2: The Startling,Kenny,(I fuckin' hate Craig!)
Pandemic 2: The Startling,Scene Description,"Department of Homeland Security, days later. A new director has taken over and is seated behind a solid wooden desk"
Pandemic 2: The Startling,Top Official 2,"[enters the office without warning] Sir! Sir, we have a problem!"
Pandemic 2: The Startling,New Director,What now?!
Pandemic 2: The Startling,Top Official 2,"The former director of Homeland Security, that turned out to be a guinea pig? It attacked the guards, got out of its holding cell."
Pandemic 2: The Startling,New Director,"My God, are you telling me..?"
Pandemic 2: The Startling,Top Official 2,"Yes sir. It broke out of prison. [heavy footfalls are felt throughout Washington D.C. Car alarms go off, people scream, and a large guinea pig in striped prison uniform appears. The camera shuts off.]"
About Last Night...,Scene Description,"Chicago, night. Barack Obama stands behind a podium facing two TelePrompTers, two glass walls, and a crowd of supporters. He has just won the Presidency."
About Last Night...,Obama,"If there is anyone out there tonight who still doubts that America is a place where all things are possible, who still wonders if the dream of our founders is alive in our time, who still questions the power of our democracy, tonight is your answer. [a cheer goes up in the audience]"
About Last Night...,Scene Description,"The Marsh house. Randy jumps for joy while his family, including Grandpa Marsh, sits on the sofa behind him. Another couple stands behind the sofa. Gerald and Sheila sit on a second sofa. Randy and Gerald wear Obama shirts"
About Last Night...,Randy,Yyeeaahh!!!! [pumps his beer can up and down a couple of times] Obama! [runs around] WOOOOO! We did it! We F'in' did it!
About Last Night...,Gerald,[stands up] Yyeeaahh!!!!
About Last Night...,Obama,"It's been a long time coming, but tonight, because of what we did on this date in this election at this defining moment, change has come to America."
About Last Night...,Randy,"Yyeeaahh!!!! Yeah Obama! Chaaange! It's, it's chaaange!"
About Last Night...,Obama,"Sasha and Malia, I love you both more than you can imagine, and you have earned the new puppy that's coming with us to the White House. We will name him ""Sparkles""."
About Last Night...,Randy,[kneels before the TV] He's so awesome! [runs his hand over the screen a few times] He's so perfect and awesome!
About Last Night...,Obama,"Where we are met with cynicism, and doubt, and those who tell us that we can’t, we will respond with that timeless creed that sums up the spirit of a people: Yes We Can."
About Last Night...,Supporters,[in Chicago] Yes we can!
About Last Night...,Randy,Yes I can! Yes I can! [the others watch him run out of the house]
About Last Night...,Scene Description,Outside the Marsh house. Randy opens the door and proclaims
About Last Night...,Randy,Here comes the change everybody! WOOO! [people nearby gather around the front steps]
About Last Night...,Mr. Harris,Did you see? Our man is in! [among the gathering crowd are Mr. Adler and the Blacks.]
About Last Night...,Mrs. Harris,We did it!
About Last Night...,Mr. Adler,Everything is going to be awesome now!
About Last Night...,Randy,This is the greatest day of our lives! Yes we can!
About Last Night...,Linda Black,I don't even know what to do now.
About Last Night...,Randy,I know what to do! [steps into the street and cups his hands on his cheeks so as to amplify his voice] Losers! Looosers!
About Last Night...,Scene Description,"The Stotch house, living room. A ""Go McCain"" banner hangs over the sofa. Mr. Garrison sits on a chair, Stephen and Linda sit on the sofa with Mr. Mackey, Principal Victoria and her boyfriend sit on two chairs in front of Mr. Mackey. Most everyone there is wearing a McCain/Palin shirt or sweater"
About Last Night...,Crowd,[outside] Looosers! Looosers!
About Last Night...,Stephen,"Oh, shut up!"
About Last Night...,Crowd,Looosers!
About Last Night...,Butters,We lost?
About Last Night...,McCain,"[giving his concession speech] It is natural. It's natural tonight to feel some disappointment. We fought as hard as we could, and though we fell short, the failure is mine, not yours."
About Last Night...,Supporters,No no! Noo nooo!
About Last Night...,Butters,"Aw, poor ol' John McCain. Well he looks real sad."
About Last Night...,Stephen,"[gets up and walks to the TV] No. No, this can't happen! No! [kicks the TV screen, causing it to short and shatter]"
About Last Night...,Linda,Stephen!
About Last Night...,Stephen,"It's all over, Linda! The country as we know it is about to change. We're all dead."
About Last Night...,Linda,"You don't know that, Stephen!"
About Last Night...,Mr. Mackey,"With an inexperienced man as President, we do know it! He is right! Game over, man! Okay?!"
About Last Night...,Mr. Garrison,We'll probably be dead by sunrise!
About Last Night...,Stephen,"Butters, Daddy loves you. Just remember that... he always loved youuu... [someone pounds on the door. Stephen and Butters look over and the door opens. It's Randy]"
About Last Night...,Randy,WOOOO Obama!
About Last Night...,Mr. Garrison,Get out o'here!
About Last Night...,Scene Description,The Marsh house. It's quiet there now. The doorbell rings and Stan answers it. He sees Kyle and Ike on the landing
About Last Night...,Kyle,"Dude, have you seen my parents? [Ike begins to cry]"
About Last Night...,Stan,"No, everyone is out partying in the streets. What's wrong with your brother?"
About Last Night...,Kyle,"He was a McCain supporter. [Ike cries harder] It's okay, Ike. Obama will do fine."
About Last Night...,Scene Description,"Chicago, Obama headquarters. It's 1:10 am and Obama steps through some double doors. The press awaits him."
About Last Night...,Reporter 1,"Uh Mr. President, over here!"
About Last Night...,Reporter 2,Congratulations!
About Last Night...,Reporter 3,"Great start, great job!"
About Last Night...,Reporter 4,Change!
About Last Night...,Reporter 5,"Great job, Mr. President!"
About Last Night...,Reporter 6,"Great job, Obama!"
About Last Night...,Obama,"Thank you all for your support. If you don't mind, I'm gonna spend the rest of the evening getting some much needed rest. [steps through double doors at the other end of the hall and closes them behind him. A man walks out of the shadows as Obama turns away from the doors] Senator McCain."
About Last Night...,McCain,"President Obama. [the two men step up and face each other, then start to giggle, then roar with laughter. They give each other a high-five and a low-five.]"
About Last Night...,"McCain, Obama","Boom, baby!"
About Last Night...,Obama,Ohoh man that was perfect! [works on removing his jacket]
About Last Night...,McCain,[pulls out a cell phone and starts calling someone] I almost thought we were gonna tie for a minute there. That would have screwed us.
About Last Night...,Obama,"You played it perfectly, there was no way."
About Last Night...,McCain,"It's McCain, we did it! Obama is President."
About Last Night...,Davis,"Yeah, so I've heard. You guys are out of your freakin' minds, you know that?"
About Last Night...,McCain,"Yes, we do. Assemble the rest of the team: we've only got ten hours."
About Last Night...,Davis,"Sure. Hard part's over, right?"
About Last Night...,McCain,"Actually, the hard part's just starting."
About Last Night...,Scene Description,"The streets of South Park. Two men set up a ""Obama for President 2008"" banner over the roof of a house. Down below are posters and banners for Obama plastered all over the houses and the crowd is partying to ""Celebration"". Randy rallies them on by blowing through a paper horn"
About Last Night...,Reveler 1,[gulps down a beer] Yoohoo!
About Last Night...,Reveler 2,"Obama yeah, I can't believe it!"
About Last Night...,Randy,O ba ma! O ba ma!
About Last Night...,Revelers,O ba ma! O ba ma!
About Last Night...,Randy,Cehhh-lebrate good Obama come on! [reaches a keg of beer and serves himself some into a mug] It's Obamobama! [someone walks by and just throws up]
About Last Night...,Scene Description,Stan's house. He and Kyle look at the partying going on outside. Stan is on the phone
About Last Night...,Stan,"Yes, I'd like to make a noise complaint. [outside the music changes to ""Who Let The Dogs Out?"" Someone swings from a traffic light and falls. A truck full of young adults rolls by]"
About Last Night...,Crowd,Obama!
About Last Night...,Randy,"Who let the Obama out? [moments later a police car rolls down the street, slowly going through the crowd] Ohoh, police are here. OooooOOOOooo!"
About Last Night...,Crowd,OooooOOOOooo! [Officer Barbrady stops the cruiser and hops out of it]
About Last Night...,Barbrady,"Okay people, time to disperse. Party's over!"
About Last Night...,Randy,BOOOO! [other people join in the booing]
About Last Night...,Reveler,...party Obama!
About Last Night...,Barbrady,"Come on, time to go home."
About Last Night...,Randy,What are you? A McCain voter?
About Last Night...,Crowd,Yeah!
About Last Night...,Randy,"Sorry pal, but Obama's President now! [walks towards Barbrady, and his pants begin to fall to his ankles] Obama! Obama! [walks past him and towards the police car]"
About Last Night...,Crowd,Obama! Obama!
About Last Night...,Randy,"Yeah yeah, flip the... Flip the cop car! Flip the cop car! [other revelers walk up and help out]"
About Last Night...,Barbrady,"Ey, put down my car! [Randy and the revelers succeed in flipping the car over]"
About Last Night...,Revelers,"Yes we can! [they move in and keep rocking the car as the music switches to ""Mickey"".]"
About Last Night...,Barbrady,"No! No! Hey, stop it!"
About Last Night...,Stan,Jesus Christ...
About Last Night...,Randy,"O-bama you're so fine, you're so fine you blow my mind. Hey Obama! Hey Obama! [Cartman rolls by in his Big Wheels trike, pulling a cart full of TVs]"
About Last Night...,Cartman,"Hey, you guys wanna buy a TV? [Stan and Kyle just look at each other.]"
About Last Night...,Scene Description,"Washington D.C., at the penthouse of a hotel. Obama and McCain enter a suite where the rest of their team is waiting for them. It's 2:15 am. The team members applaud them as they reach the middle of the room."
About Last Night...,Quincy,Bravo Obama and McCain. Ten years you two have been working on this plan and you've finally pulled it off!
About Last Night...,McCain,"Guys, we've all known each other a long time, had many incredible adventures, but this is going to be our greatest feat ever."
About Last Night...,Neely,I knew it! I knew when you two ran for President you were just working an angle.
About Last Night...,Obama,Always workin' the angles.
About Last Night...,McCain,"My friends, while the entire country is busy reacting to the election, we are about to pull off the greatest heist in human history."
About Last Night...,Quincy,"So, come on, enlighten us. What are we stealing this time? [Obama and McCain look at each other knowingly. The next scene shows a huge diamond necklace]"
About Last Night...,Obama,"The Hope Diamond, rated #4 of the ten most precious diamonds in the world. Going street value, Middle-Eastern market, of course, two hundred and ten million dollars."
About Last Night...,Davis,Two hundred ten?
About Last Night...,McCain,Million.
About Last Night...,Quincy,"No no no, the Hope Diamond is ungettable. Every thief in the world knows that."
About Last Night...,Obama,"Almost ungettable. The diamond is kept in the Smithsonian Natural History Museum, long considered to be the most thief-proof structure ever built. [Two security guards go around closing the exhibits for the night] The Diamond Wing Is protected by impenetrable walls of two-foot wide steel. On the northeast side, a seven-five laser system. [the guards walk out of a room and turn on the laser system as they exit] There's simply no side of the Smithsonian that can be breached."
About Last Night...,Davis,"So you go in from the roof, drop into it from the top."
About Last Night...,Obama,Can't get it to from the top because a polymer shelf runs the entire expanse.
About Last Night...,Quincy,"Okay, you can't get into the museum from any side and you can't drop in from above, so you can't get the diamond. [Obama walks over to the computer and turns it on, stepping aside for McCain]"
About Last Night...,McCain,"Meet... the Presidential Escape Tunnel, [a simulation begins to play on the computer monitors] A two-mile long underground passage that runs from the White House to a location outside the city limits in case of an attack. The tunnel is only accessible from the Oval Office and just happens to travel right underneath the Smithsonian Natural History Museum."
About Last Night...,"Neely, Davis","Boom, baby!"
About Last Night...,McCain,"You get somebody into that tunnel, they can blast into the museum, let the others in, the heist is on."
About Last Night...,Quincy,"So you both run for President because one of you has to win, and you've got your access to the tunnel."
About Last Night...,McCain,And we run on a particularly brutal campaign so that the nation is as distracted as possible over the next... eight hours.
About Last Night...,Quincy,This all sounds very risky.
About Last Night...,Obama,[walks across the floor] We've spent ten years putting this plan together. If we are indeed the greatest thief club in the world-
About Last Night...,Neely,And we are.
About Last Night...,Obama,[turns around] -we won't get caught.
About Last Night...,Scene Description,"Stan's house, night. Kyle is in the kitchen, on the phone with 9-1-1."
About Last Night...,Kyle,"Yes, ah I'm trying to locate my parents. M-my name is Kyle Broflovski. Yes, I know Obama won."
About Last Night...,Stan,"[walks in from the dining room] Kyle, Kyle you gotta get out here."
About Last Night...,Kyle,What?!
About Last Night...,Stan,Your little brother has climbed out of the window. I I think he's gonna jump!
About Last Night...,Kyle,Oh my God! [drops the phone and follows Stan to Ike]
About Last Night...,Scene Description,"Stan's house, one of the windows. Kyle is standing on a window sill in the den mumbling out loud. Stan and Kyle run outside and reach the window"
About Last Night...,Kyle,"Ike, don't do it! There's still so much to live for! [Ike begins to cry] I know you really wanted McCain to win but, but it's going to be okay. [Ike mumbles something to him] No, that's not true, Ike. The economy could easily stabilize with Obama's plan. [Ike says something more] Ike, don't jump! You could really hurt your ankle or something. [The camera zooms out to show that the window is barely off the ground. Ike cries, Stan and Kyle look at each other] Really Ike, that's like five feet off the ground. Don't do it."
About Last Night...,Ike,Good-bye. [falls from the window sill and lands on the ground face down]
About Last Night...,"Stan, Kyle",NOO!
About Last Night...,Kyle,Ike? [no response] Oh crap Ike?
About Last Night...,Scene Description,"The White House, night"
About Last Night...,Chief of Security,"All right, everyone, I'm turning in for the night. Go to standard security, team 3."
About Last Night...,SS agent 1,"Sir! S-sir, we have a bit of a problem."
About Last Night...,Chief of Security,What?
About Last Night...,SS agent 1,The new President-elect is here. Eh he wants into the Oval Office.
About Last Night...,Chief of Security,Barack Obama? [next scene shows Barack Obama walking through the White House]
About Last Night...,SS agent 2,"They're all, they're all right through here, sir."
About Last Night...,Chief of Security,"[interrupting as Obama enters] Uh, hello, is there something we can do for you, Mr. Obama?"
About Last Night...,Obama,Just checking out the new digs. How are you guys?
About Last Night...,Chief of Security,"Good, sir."
About Last Night...,Obama,"I'd like to see the Oval Office, please?"
About Last Night...,Chief of Security,Right now?
About Last Night...,Obama,"I don't waste time, gentlemen. I've only got two months to figure out how I wanna redecorate, if you know what I mean. You know, change the drapes and stuff."
About Last Night...,Chief of Security,"[backs up towards the Oval Office] Sure, right this way, Mr... President. [opens the doors to the office]"
About Last Night...,Obama,"[enters the office] I will need absolute privacy, is that understood?"
About Last Night...,Chief of Security,Yes sir. [Obama places a bill into the Chief's jacket breast pocket]
About Last Night...,Obama,Thanks. [closes the doors]
About Last Night...,Chief of Security,I got a hundred dollars. [grins]
About Last Night...,Scene Description,Inside the Oval Office.
About Last Night...,Obama,"All right, McCain. I'm in."
About Last Night...,McCain,"Nicely done, B. We're in position outside the Smithsonian. [he's with a construction team] You find the escape tunnel?"
About Last Night...,Obama,I'm already on it. [plugs a hacking device into an electronic lock hidden under a panel on the desktop; it quickly starts crunching numbers in trying to decode the password. Once it decodes the right password the desk moves to one side and the secret passage is revealed] Boom baby.
About Last Night...,Scene Description,"South Park, early early morning. The Obama supporters are still partying on the neighborhood streets. The music this time is ""Whoomp! (There it is)"""
About Last Night...,Reveler 3,Yehhheheah!
About Last Night...,Randy,"[even more drunk than before, serves himself more beer] Wooo, change."
About Last Night...,Reveler 4,Change.
About Last Night...,Reveler 5,Change.
About Last Night...,Stan,"[running up to him with Kyle] Dad Dad, we have a problem."
About Last Night...,Randy,Not anymore we don't; everything's different now.
About Last Night...,Stan,"No, Dad, we gotta take Kyle's brother to the hospital."
About Last Night...,Randy,"We don't have to take... crap... from the fit- rich, fat cats anymore."
About Last Night...,Stan,"Dude, he's wasted."
About Last Night...,Randy,"Hey, it's my boss. Hey boss! [walks over]"
About Last Night...,Randy's boss,"Oh, hello Marsh."
About Last Night...,Randy,"Yeah, you know what? Fuck you! [Stan and Kyle are stunned]"
About Last Night...,Randy's boss,Huh?
About Last Night...,Randy,"You heard me, you fuckin' piece of shit! I can finally tell you what I think o'you, fuckin' asshole!"
About Last Night...,Stan,"[quite concerned] Dad, what are you doing?!"
About Last Night...,Randy,"It's okay, Stan, everything's changed. I don't need this stupid fuckin' job anymore! You lil fucking assfuck, piece of shit [gives him the finger again] You know what Obama said? Yes we can!"
About Last Night...,Randy's boss,"Hey, I voted for Obama."
About Last Night...,Randy,Obama's not talkin' about you!
About Last Night...,Kyle,"[looks around] Can someone help us? My little brother fell out of a window. [Randy punches his boss in the face and his boss just leaves, holding his hands over his nose]"
About Last Night...,Scene Description,McCain headquarters. Sarah Palin stands behind a podium. Photographers snap away at their cameras
About Last Night...,Palin,I just wanna say to everyone who's a little disappointed that we lost the election that there's always next year. Maybe I'll run again for Vice President again in 2009. [the cameras die down and everyone is a bit aghast at her statement]
About Last Night...,Reporter 1,"Uh Mrs. Palin, have you seen or heard from John McCain?"
About Last Night...,Palin,"Uh, uh, nnno, I don't really know where he went. Kinda seems a little odd, I guess, but [her cell phone begins to ring] Oh, my phone's going ringy. Ex-cuse me. [steps away from the podium and off the stage to her left. She answers the phone at a safe distance from the stage] Hello?"
About Last Night...,McCain,"Hello Sarah, it's McCain."
About Last Night...,Palin,[switches to a British accent] I hope to God you're calling to tell me you're in position below the vault with the L7 charges.
About Last Night...,Obama,"I'm in the tunnel now, Sarah. I should be almost below the museum."
About Last Night...,Palin,Just make sure you don't blow the transformers along with the tunnel because it will trigger the five-four laser system! And don't damage any coupling wires or it'll be worthless when Gary shuts down the grid. I'll be there in thirty.
About Last Night...,Obama,God she's awesome.
About Last Night...,Palin,"[returns to the podium and a normal voice] Oh, I guess Senator McCain's gonna fly me back to Alaska now. He's got a private jet, you know? Okay, byebye then. [walks off to her right] Bloody idiots. [she walks out of the headquarters through a side door, tosses off her red business suit and walks towards the camera in a catsuit. She whips out some sais and spins them around like pistols]"
About Last Night...,McCain,"All right, here we go. [a piledriver is turned on and a massive pile is lifted up, then dropped. Shockwaves spread out each time the pile hits the ground]"
About Last Night...,Guard 1,What's that noise?
About Last Night...,Guard 2,"It's okay, just some construction outside. [Obama prepares a charge and sets it off, and light enters the tunnel. Obama has broken into the Smithsonian. He pops his head through the hole]"
About Last Night...,Scene Description,Inside the Smithsonian. Obama looks around and sees the laser system is on.
About Last Night...,Obama,Oh no. [presses a button on his headset] McCain? We've got a problem. [the lasers are now blue instead of red]
About Last Night...,Scene Description,"South Park streets, night. Stan and Kyle have placed Ike in a red Radio Flier wagon and are pulling him along. Ike moans from time to time. They pass by a gas station]"
About Last Night...,Kyle,"Hang in there, Ike. We're gonna get you help."
About Last Night...,Stan,"[points ahead] Hey, there's some people. [ahead of them is a garage that has been converted into a cave. Stephen Stotch and the other McCain supporters are there putting stuff away. Stephen is holding a crowd of other McCain supporters at bay with a rifle.]"
About Last Night...,Stephen,"Let's just stay back- STAY BACK! We don't have any more room in the Ark. [above the garage door is the work ""A.RK""]"
About Last Night...,Man 1,You have to let us in! You know the country's doomed!
About Last Night...,Woman 1,Who are you to turn us away?!
About Last Night...,Stephen,I built this bunker in case McCain lost! There isn't enough room for everyone!
About Last Night...,Kyle,"Hey, excuse me, but we need some help."
About Last Night...,Stephen,"I know you do, but there's no more room, I tell ya!"
About Last Night...,Man 2,You're going to deny them too?
About Last Night...,Man 1,"[throws down his sleeping bag] For God's sake, man, they're children! [kneels next to Stan] Look them in the eyes and tell them you won't take them in! [tugs on Stan's cheeks] Look at their little cheeks!"
About Last Night...,Stan,"Let go of my face, asshole!"
About Last Night...,Stephen,"All right, damn you! The children can come in!"
About Last Night...,Kyle,"No, we don't want to enter any of your stupid shelter!"
About Last Night...,Man 3,"Okay, then I want their place."
About Last Night...,Man 4,Me too.
About Last Night...,Kyle,We NEED a ride to the hospital!
About Last Night...,Man 1,THERE ISN'T GONNA BE A HOSPITAL! DON'T YOU GET IT?!
About Last Night...,Woman 2,"Let us in now! [Stephen smacks her away, and a brawl follows]"
About Last Night...,Mr. Garrison,"Whoa, Jesus, it's already happening. Society's breaking down!"
About Last Night...,Man 5,Obama hasn't been elected four hours and already the country's going to hell! [another supporter smacks him down from behind. Stan and Kyle just leave and resume their walk]
About Last Night...,Scene Description,"The Oval Office, outside. The Chief of Security knocks on the door]"
About Last Night...,Chief of Security,"Mr. Obama? [tries to open it, but can't] Sir? [looks to another Secret Service agent] All right, give me the keys. [the door opens before the agent could reach for the keys. Barack Obama dusts himself off]"
About Last Night...,Obama,"Is there a problem, gentlemen?"
About Last Night...,Chief of Security,"Uh, no. No, sir. Everything okay in there?"
About Last Night...,Obama,"Why wouldn't it be? I'm sorry, but I asked to be left alone?"
About Last Night...,Chief of Security,"Yes, sir, it's, just that... your wife is here."
About Last Night...,Obama,My wife?
About Last Night...,Michelle,"[appears behind the agents] Barack, everyone's been looking for you. What on earth are you doing?"
About Last Night...,Obama,"[pulls her into the Oval Office] Uh, c-c-come on in, darling. [appears at the doorway again] Thank, thank you boys. [closes and locks the doors]"
About Last Night...,Scene Description,"The Oval Office, inside. Barack and Michelle are alone now]"
About Last Night...,Michelle,"Okay Barack, tell me what's going on?"
About Last Night...,Obama,"Michelle, there's something I need to tell you."
About Last Night...,Michelle,"What is it? [Obama stays quiet] Barack, what is it?!"
About Last Night...,Obama,The laser system guarding the diamond was replaced by an optical relay three days ago.
About Last Night...,Michelle,You gotta be kiddin' me. So the entire diamond vault is inaccessible?! Is McCain online?
About Last Night...,McCain,"[wearing a huge fake mustache] Hi, Michelle."
About Last Night...,Michelle,[removes the Bluetooth device from Obama's right ear and places it on her own] You guys weren't runnin' update checks on the security logs?!
About Last Night...,McCain,"Michelle, we need you to do a different scan hack through the vault relay."
About Last Night...,Michelle,"On a new system, in an hour?! Are you nuts? My job was to pretend to be married to this bozo and get you three scan hacks into a laser system!"
About Last Night...,Sarah,"Michelle, it's Sarah. They did replace the laser system, but the new one isn't brand-new. It's an old H-7 series. You can break this baby in 30 minutes."
About Last Night...,Michelle,Egh. Tell Davis to get me a fortrans emitter and enough pulse drives to light a spark.
About Last Night...,Obama,"Did you catch that, Davis?"
About Last Night...,Davis,I'm on it.
About Last Night...,Scene Description,"Hell's Pass Hospital, night. Stan and Kyle finally make it to the emergency entrance]"
About Last Night...,Kyle,"We made it, Ike. You're going to be okay. [they enter the ER and see a lot of patients in there. One man has an Obama flag stuck up his ass. The clock reads 9 p.m., so it must be broken]"
About Last Night...,Nurse,"[showing an Obama patient where to wait] There, just take a seat over there."
About Last Night...,Kyle,"[getting the nurse's attention] E-excuse me, my little brother needs medical attention."
About Last Night...,Nurse,Was he an Obama supporter or a McCain supporter?
About Last Night...,Stan,Why does that matter?
About Last Night...,Nurse,"Because then I'll know if he partied too hard or if he tried to kill himself. [on one side of the ER are Obama supporters who are suffering the effects of too much partying, and on the other are McCain supporters who have more serious wounds]"
About Last Night...,Kyle,"Ma'am, please, I think my little brother needs immediate help."
About Last Night...,Nurse,"You don't understand, kid: there's only two doctors on call, and Dr. Wilson is out celebrating in the streets somewhere."
About Last Night...,Stan,So where's the other doctor? [the nurse opens a door behind her and the other doctor... is hanging from a noose attached to the ceiling]
About Last Night...,Randy,"[walking in suddenly towards the Obama side] Hey, come on people. We can keep partying, can't we? Yes we can! Come on, let's sing. O-bama. Well you came and you gave without taking. [moans come up from all over the ER as people cover their ears] And I sent you away, O-bama. When you kissed me and stopped me from shakin'. [a McCain supporter tries to hasten his death by smashing a corkscrew into his head]"
About Last Night...,Scene Description,The Smithsonian. Michelle and Obama are at the tunnel's new entry point near the Hope Diamond. Michelle is still breaking the new laser system]
About Last Night...,Michelle,I've almost got it. You're only going to have five minutes. Do you understand?
About Last Night...,Obama,Did you really not like pretending to be married?
About Last Night...,Michelle,"Oh Jesus, now is not the time, B."
About Last Night...,Obama,Come on. You have to admit we had some fun.
About Last Night...,Michelle,"My girls need somebody better than a world-class diamond thief. Woowait, there! I got it."
About Last Night...,Obama,"[to everyone connected to his bluetooth unit] All right, everyone. We're about to go. So here's the revised schedule: 4:40 a.m., the team gathers at the northwest exit of the museum. [the heist is shown taking place as Obama goes through the schedule] 4:45 a.m., Michelle hacks the optical relay, allowing me access to the rear doors."
About Last Night...,Michelle,Go! [Obama takes off]
About Last Night...,Obama,"4:46, from inside I can open the doors and let in the rest of the crew. [Obama opens the vault door and McCain and the others walk in] 5:10 a.m., at the Department of Power Quincy shuts down the grid, disabling power to the vault room. 5:12, my grandmother who faked her death on Monday calls in a bomb threat to the museum."
About Last Night...,Grandma Obama,"I said I put a bomb in your building, bitch."
About Last Night...,Obama,"5:13, the guards open the southwest door, checking the museum for any bombs. [above them, Palin crawls across the ceiling like Spider-Man towards the entrance] 5:14, McCain, dressed as a football player, enters security and shuts off the diamond case alarm. [Palin drops down and hangs upside down. She lifts the glass display cover from the diamond and swipes the Hope Diamond from its display case. McCain is spotted and flees]"
About Last Night...,Smithsonian guard,Hey you! Stop!
About Last Night...,Obama,"Michelle and I head back into the tunnel and the hole is patched. [Davis and Neely act as repairmen and seal up the hole] 5:15 a.m., I walk out of the Oval Office with the diamond securely hidden in my anus."
About Last Night...,Obama,"[to the Secret Service] All done. Thanks. [Barack and Michelle head outside, towards a limousine. The door opens and McCain is waiting for them. They enter and take their seats, and the limousine rolls off. The rest of the team looks at the three of them, and they all laugh. Obama takes the diamond out of his ass and displays it for all to see.]"
