Britney's New Look,Photographer 3,Hey look!
Major Boobage,Gerald,"Now, Kyle!"
Major Boobage,Kyle,God! [goes upstairs]
Major Boobage,Sheila,"Gerald, what are we gonna do? Our son is a cat pee addict!"
Major Boobage,Gerald,First thing is we've gotta dispose of this!
Major Boobage,Sheila,What are you gonna do?
Major Boobage,Gerald,"I'd better just... take it down to the basement for now, m-make sure Kyle can't find it. [heads off]"
Major Boobage,Scene Description,"The basement. The door opens and Gerald enters. He locks the door and goes down a few steps, then looks at the cat."
Major Boobage,Gerald,"[showing a weakness of some sort] No. No, what am I thinking? I shouldn't do this. [continues down the steps] I've been clean for ten... years. I haven't even been near a cat. [getting dramatic] But then that report said our kids were doing it too, and... and I knew Kyle would have the same sicknesses I used to have... Now a cat is in our home, and it's too tempting. [approaches a contraption similar to the one Cartman made, but this one has a movie projector and screen. He takes the cat out of the bag and straps it into the contraption] I... I'll just do it one more time. [ties the cat's tail to the roof of the contraption's frame so there's no obstruction] One. Last. Time. [unfurls the screen] Then I'll call the police; have them pick up the cat. [moves a large empty box aside] And then I'll never do it again. [kneels down at the table and grabs the projector's trigger] After this one... last... time... [click. The projector begins to roll and a cat appears onscreen. The cat in the harness gets excited and begins to snarl. It finally squirts and Gerald stumbles backward a bit. He walks backward and freezes, his eyes unfocused]"
Major Boobage,Scene Description,"Gerald's hallucination. He enters the same alternate universe Kenny has been in, but he's flying a B-17 bomber called Jewish Princess. He lands on the same desert planet Kenny landed on earlier. He gets off the plane and is greeted by the large-breasted woman"
Major Boobage,Gerald,I couldn't stay away. Curse your rockin' tits!
Major Boobage,Scene Description,"Cartman's house, day. The doorbell rings. Cartman rushes to answer it."
Major Boobage,Cartman,Who is it?!
Major Boobage,Woman,"[with a foreign accent] Please! Open the door. [he opens the door, and a middle-aged woman stands before him] They say you are hiding cats."
Major Boobage,Cartman,"[quickly looks both ways] Hiding cats? [nervously] Why, that would be illegal. [backs into the living room]"
Major Boobage,Woman,"[enters] You don't understand [kneels] My little Nishka, [produces the cat] She has nowhere else to go."
Major Boobage,Cartman,"Oh oh no no, I cannot possibly take in another."
Major Boobage,Woman,But they will find her.
Major Boobage,Cartman,"I've already taken in the Andersons' cats, and the Willinskys'. There's simply nothinng else I can- [his weakness comes through as the cat gazes at him] Then again... perhaps I could find space for just this one more..."
Major Boobage,Woman,"[hands him Nishka, Cartman takes Nishka and pets her] Oh, you show such kindness in such darkest of times. [begins to sob. Cartman joins her]"
Major Boobage,Scene Description,"Cartman's attic, or secret annex. Cartman opens the door and is about to drop Nishka in when something catches his attention"
Major Boobage,Cartman,"What the hell? [Kenny has somehow found the cats and is squeezing them to get cheesed. His face and parka are covered with concentrated piss. He grabs another cat and cheeses some more] Kenny, get out of here!"
Major Boobage,Kenny,(Woooooh! Woooooh!) [Kenny dances out of the attic]
Major Boobage,Cartman,"Aw, crap- Kenny! [Cartman begins to follow him down, but stops temporarily] Bad. Kitties."
Major Boobage,Scene Description,"Kyle's room, day. He's moping around when the doorbell rings"
Major Boobage,Kyle,Dad! Somebody's at the front door! [the doorbell rings twice and Kyle goes to his room door] Well am I grounded or not?! [the doorbell rings three times] Ugh. Fine! I'll get it! [leaves his room and opens the front door]
Major Boobage,Stan,"Dude, we've got a big problem. Cartman says Kenny is really messed up."
Major Boobage,Cartman,"He's cheesing his fucking balls off, dude."
Major Boobage,Kyle,[quizzically] What?
Major Boobage,Stan,He apparently got to all the cats Cartman's been hiding in his attic.
Major Boobage,Kyle,"What are you doing with cats in your attic, fatass?!"
Major Boobage,Cartman,"They're innocent victims in this, Kyle! They have to hide or they'll be put to death! Something you just can't understand! [crosses his arms and looks away. Stan opens his mouth in shock, Kyle looks angrily at Cartman]"
Major Boobage,Stan,"Come on, we've gotta find Kenny before he hurts himself."
Major Boobage,Kyle,"I can't. My dad grounded me. Wait a minute, where is my dad?"
Major Boobage,Scene Description,"The huge Steamline building the large-breasted woman led Kenny into before. This time, she leads Gerald in."
Major Boobage,Gerald,Hey everybody. Good to see you again. [Gerald and the woman head for the fountain. They both start undressing.]
Major Boobage,Father,Hold! You cannot yet caress my daughter's awesome boobage!
Major Boobage,Gerald,Huh... how come?
Major Boobage,Father,There is... another suitor. [Kenny walks into view]
Major Boobage,Gerald,"What? [sees who it is] Get out of here, kid!"
Major Boobage,Kenny,"(No, fuck you! She's my girl!)"
Major Boobage,Gerald,You're too young for this stuff!
Major Boobage,Father,"This must be decided at the Breastriary in Nippopolis! [the woman hides her privates, her father's arm blocks a full view of her breasts]"
Major Boobage,Scene Description,"The Breastriary. It's built like the Colosseum in Rome, but each level has a different design... made of concrete breasts. The interior too is made of breast-shaped pieces, including a magnificent entrance made of ten massive breasts"
Major Boobage,Father,Now fight for the Loc-Nar trophy! [the camera pans down and left to reveal a golden trophy made of two female statuettes kneeling back to back and holding their arms out. The woman places her breasts on their hands so it looks like the actual trophy is her breasts.]
Major Boobage,Scene Description,"The Breastriary floor. Kenny and Gerald face off in a joust on giant ostriches - who also have big breasts. Their lances have protective tips made of a giant breast for each lance. The rivals hold their lances up, bring them down, and charge at each other. They knock each other off the ostriches and the crowd roars. The father, emperor of this place, sits down to enjoy the match. Kenny grabs a sword with a hilt made of a pair of breasts. Gerald grabs a breast-shaped shield and a battle ax with a normal blade on one side and a pair of breasts on the other. They are evenly matched, as neither can gain an advantage over the other."
Major Boobage,Scene Description,"A sand box in a city park, day. Gerald and Kenny are fighting in it, oblivious to the crowd gathering around them. They grunt and punch each other. Kyle, Stan, and Cartman show up and Kyle spots Gerald"
Major Boobage,Kyle,Dad? Dad! What the hell are you doing?!
Major Boobage,Jimbo,They've been goin' at it for a good thirty minutes.
Major Boobage,Gerald,"She's mine, you little asshole!"
Major Boobage,Kenny,(Get the fuck off of me!)
Major Boobage,Sheila,[arriving] Gerald?!
Major Boobage,Scene Description,A news report. A Channel 4 news reporter stands by
Major Boobage,Reporter,The key proponent of the cat ban has been charged with cheesing in a public park. Gerald Broflovski is prepared to give a public statement.
Major Boobage,Gerald,I would like to address a personal matter: I have let myself down. And I would first like to apologize to my lovely wife.
Major Boobage,Sheila,Don't touch me.
Major Boobage,Gerald,"And to the people of South Park. [a shot of the town square and its citizens] I was wrong, and I can't let cats take the fall anymore. It's our fault. The people who use cats for their sweet urine. [Kenny looks down in shame] We have to learn that cheesing just isn't worth it. Sure, you get to fight in the Breastriary, and swim in the Fountains of Varnov with the Itty Titty Fairies of Mammary Mountain."
Major Boobage,Stan,[puzzled] What the hell is he talking about?
Major Boobage,Kyle,[eyes closed] I have no idea.
Major Boobage,Gerald,"And then you fight the Boob Goblin in the Gazongas Cave, and then the girl may thank you for it. But she. Isn't. Real."
Major Boobage,Randy,And you never really get a good look at her naked boobs anyway. [Sharon glares at him.]
Major Boobage,Gerald,"Problem is, the more you go into that world, the more you need to go. Until you start blowing off all the real people who care about you. [Kenny looks down again]"
Major Boobage,Kenny,(Yeah. I guess so.)
Major Boobage,Gerald,"Cats aren't the problem. We made cats illegal and and then I cheesed for the first time in ten years. And kids are always gonna find a new way to get high. Like sniffing glue or licking toads, or fermenting feces or huffing paint. You can also look at-"
Major Boobage,Stephen,"[cupping Butters' ears so Butters can't hear anything] Uh okay, that's probably good, Gerald."
Major Boobage,Gerald,"The point is, I was wrong. Its time to legalize cats! [grins wide, then begins to cheer] Heh yeah! Hooray for Gerald! Hey, let's hear it for Gerald! [crowd remains silent]"
Major Boobage,Scene Description,"South Park, day. The camera drops down and focuses on Scrambles' house. The DEA agents return and gives Scrambles back to his family"
Major Boobage,Girl 2's father,"Scrambles! So good to have you back! You ain't sore at us, are ya? [Scrambles hisses, then scratches the father all over his head. His frightened wife and daughter leave him alone] Ahh! Get him off! [the boys, standing across the street, turn around]"
Major Boobage,Stan,I'm sure glad that's over with. [the boys turn left and walk away]
Major Boobage,Kenny,(Me too.)
Major Boobage,Cartman,"But you know, we've all learned something, you guys. We can never persecute living beings and force them into hiding. It's wrong. [Kyle stops]"
Major Boobage,Kyle,[cross] And you don't see any parallel between that and anything else in history?
Major Boobage,Cartman,"[strokes his chin] Mmmmmmmmmm nope. I have no idea what you're talking about, Kyle."
Major Boobage,Stan,You guys! Check it out. [smiles] It's Kenny. [Kenny has crossed the street to reach a flower patch. He picks one out and inhales deeply] Isn't that great? He's just getting high on life.
Major Boobage,Kyle,"Yeah. [Kenny begins to grab more flowers with gusto to get more of their aroma. The other boys get worried] He's getting... really high on life. [Kenny begins to snort and grabs all the flowers he can, treating them just as he did the cats earlier.]"
Major Boobage,Cartman,"Dude, he's getting super-wasted on life."
Major Boobage,Kyle,"[runs to Kenny] Kenny! [Stan and Cartman follow. Kenny falls in Kyle's arms, goes into spasms, and then freezes, his eyes unfocused]"
Major Boobage,Stan,What the hell kind of flowers are those?
Major Boobage,Kyle,Kenny? Kenny?!
Major Boobage,Scene Description,"Kenny is back in the world of his hallucination, back in the modified Thunderbird. He's flying through space with the large-breasted woman at the wheel. Every planet and moon looks like a breast or pair of breasts."
Major Boobage,Kenny,"[dances in time with the music, then gazes up at the woman's bouncing boobs] (Woo-hoo-hoo!)"
Major Boobage,Scene Description,The Thunderbird goes into warp and disappears.
Canada on Strike,Scene Description,"The South Park Elementary school gym, day. The students have been called to show up there. Mr. Mackey comes out and stands in front of a big TV and between two bulky tower speakers"
Canada on Strike,Mr. Mackey,"Students, quiet please, m'kay? As you may or may not know, today is Canada Appreciation Day."
Canada on Strike,Cartman,"Oh God, I'm bored already."
Canada on Strike,Mr. Mackey,"M'kay, so we've been asked to show you a video from the World Canadian Bureau. Uh start the tape please? [exits right as the tape starts up. A Canadian flag appears onscreen]"
Canada on Strike,WCB President,"[appears in his office onscreen] Hello, I am Stephen Abootman, President of the World Canadian Bureau. Do you ever stop to think how important Canada is to the world? Right now, I would like all students of Canadian descent in this school to stand up. [no one moves a muscle until one lone Canadian boy, Ike, stands up.] Just look at all these fine Canadians in your school. See how diverse they are. When you think of Canada, what's the one thing that comes to mind?"
Canada on Strike,Cartman,"Gayness! [everyone laughs and looks at Ike, who looks chagrined.]"
Canada on Strike,Stephen Abootman,That's right: spirit! What is it that makes Canada so important?
Canada on Strike,Craig,Nothing! [everyone laughs harder and looks at Ike.]
Canada on Strike,Scene Description,"Canada, day, a crowd stands in front of a building with G on it."
Canada on Strike,Stephen Abootman,"My fellow Canadians, for too long we have been pushed around, and ridiculed! Yesterday was supposed to be a day of appreciation and understanding! Instead, Canada Appreciation Day was mocked worldwide! [the crowd begins to clamor]"
Canada on Strike,Man 1,[wearing #10] Nobody takes us Canadians seriousleh!
Canada on Strike,Lumberjack,"It's like the world doesn't respect Canada at all, eh?"
Canada on Strike,Stephen Abootman,That's right! And I think it's time for Canada to show the world just how bad things would be without it! Together we can send a message! It's time for Canada ...to strike!
Canada on Strike,Woman 1,Did you say strike?
Canada on Strike,Stephen Abootman,Yes! Every Canadian join me! Join together!
Canada on Strike,Man 2,"Canada, on strike."
Canada on Strike,Man 3,"Canada, on strike."
Canada on Strike,Canadians,"[a different crowd shot for each ""Canadaaa""] Canadaaa! Canadaaa! Canadaaa! Caaanaaadaaa! Canada on strike! Canada says ""No more!"" No more neglect! We want respect! That's what we're striking for! All you bureaucrats and corporate cats"
Canada on Strike,Border Guard,Can all just take a hike! [rolls down his window shade]
Canada on Strike,Canadians,"[large crowd] It's Canaada! On Strike! [they whip out their strike signs] Canada on strike! From Vancouver to St. John's [both locations are shown], We raise our middle fingers for you all to sit upon! [a hockey team] And with our fingers up your ass, [workers at The Canadian Maple Syrup Company] you won't be very psyched [workers in the building drop syrup barrels from the upper floors] It's Canada! On Strike! [Mounties march in a circle] And we will not bow a bunch! Our resolve is strong! [A conductor leads a group of singers] We even took three hours to rehearse this striking song! [a trumpeter leans in and toots.] [Pizza Nut] Canada on strike! No matter where you are, [On TV at Café 180] If you are Canadian then you've got to do your part! March out of the halls!"
Canada on Strike,Café 180 patron,"[stands up and poses] That's right, suck my Canadian balls! [runs out and poses] It's Canada! On Strike!"
Canada on Strike,Canadians,[the camera zooms out to a view from space of a nation of singing Canadians] It's Canada! Canada! Canada! On Strike! [a lone Canadian laughs somewhere]
Canada on Strike,Scene Description,"The United Nations, day."
Canada on Strike,Swiss delegate,"Ahhh, when you say ""Canada is on strike"", what exactly do you mean?"
Canada on Strike,Stephen Abootman,"What do you think it means?! [pounds the table] We're striking, buddih! No more! That's it! Until we get what we want"
Canada on Strike,French delegate,Who exactly are you to authorize this strike?
Canada on Strike,Stephen Abootman,I'm Stephen Abootman! Leader of the WGA!
Canada on Strike,French delegate,The WGA?
Canada on Strike,Stephen Abootman,[crosses his arms] Yes! The World Canadian Bureau! [the other delegates don't react.]
Canada on Strike,French delegate,What exactly does Canada want?
Canada on Strike,Stephen Abootman,We want: more... money!
Canada on Strike,Aide 1,[with mustache] Yeah! More money!
Canada on Strike,Japanese delegate,More money from where?
Canada on Strike,Stephen Abootman,"Just more money! You know! Canada doesn't get enough money! Other countries have lots of money; we want, we want some of that money! Hu- how about- the Internet? The Internet makes lots of money! So give us some of that money!"
Canada on Strike,Aide 1,Yeah! Give us Internet money!
Canada on Strike,British delegate,"A Mister A- Abootman, you seem to- not understand how ...global economics works. I think that-"
Canada on Strike,Stephen Abootman,Don't give me that fat-cat fancy lip-wiggling! Are you gonna give Canada more money or not?! [pounds his fist on the table a few times]
Canada on Strike,British delegate,I'm afraid we can't.
Canada on Strike,Stephen Abootman,"Then you leave Canada no choice. [heads for the doors. His aides open them and he heads out] This strike shall continue! [the aides head out, closing the doors behind them.]"
Canada on Strike,Scene Description,"A snowy night in South Park, a shot of Kyle's room through his window. Kyle heads to the front end of his room to look out the window. Out on the sidewalk stands Ike with his own strike sign: ""HONK if you support CANADA"" Cars pass by without stopping. Kyle suffers for him. A car pulls up and Ike turns to face it"
Canada on Strike,Husband,"""Honk if you support Canada"" He- hey honey, watch this. [honks twice]"
Canada on Strike,Wife,"[looks at him] Oh, we're supporting unions."
Canada on Strike,Husband,That's right; we're a very progressive couple.
Canada on Strike,Wife,"Yes. [reaches over and honks the horn] Oh, that's fun!"
Canada on Strike,Husband,Well we've done our good deed for the week. I think now I can make love to your anus without making God angry.
Canada on Strike,Wife,Oh really? Goodie! [they drive off. Ike watches them leave]
Canada on Strike,Scene Description,"Stan's house, day. Stan, Butters, and Cartman are watching TV. Kyle walks in from outside"
Canada on Strike,Kyle,"Guys, I'm really worried about my brother."
Canada on Strike,Cartman,We don't care. *urp*
Canada on Strike,Kyle,"You should care! This strike affects everybody, fatass!"
Canada on Strike,Stan,"Sh ush ush, it'sa it's on!"
Canada on Strike,Butters,Yippie!
Canada on Strike,Announcer,It's the Terrance and Phillip Show. [Terrance and Phillip in] Today's episode: I Fart Huckabees. [Terrance and Phillip are shown dressed in Viking warrior outfits]
Canada on Strike,Butters,"Aww, this one again?!"
Canada on Strike,Stan,"God, they've replayed this one like eighty times now!"
Canada on Strike,Terrance,"Say Phillip, I just bought this new hybrid car."
Canada on Strike,Phillip,Oh? Does it run on electricity?
Canada on Strike,Terrance,"[the boys say the line too] No, it uses natural gas. [they do raspberries as Terrance farts on Phillip. Terrance and Phillip laugh]"
Canada on Strike,Phillip,Not as fat as your face!
Canada on Strike,Butters,"Huh, it somehow loses its punch after multiple viewings."
Canada on Strike,Cartman,"God damn it, when are they going to air new Terrance and Phillip shows?!"
Canada on Strike,Kyle,There aren't gonna be new shows! Don't you get it?! Terrance and Phillip are Canadian! We have to get Canada to end this strike!
Canada on Strike,Stan,"It's not a big deal. We can just watch American comedy. [""Terrance and Phillip"" disappears and ""Family Guy"" comes on]"
Canada on Strike,Peter Griffin,"You think that's bad? Remember the time I sang ""La Cucaracha"" for Paul McCartney?"
Canada on Strike,Cartman,[jumps off the couch and runs to the TV] No! NOOO!
Canada on Strike,Peter Griffin,La Cucaracha- [Cartman turns off the TV and faces his friends]
Canada on Strike,Cartman,We are NOT... resorting to that!
Canada on Strike,Scene Description,"Striking Canadians, day."
Canada on Strike,Canadians,We want more! We want more!
Canada on Strike,Stephen Abootman,"One, two, three, four, Canada deserves more (money)! One, two, three, four, Canada deserves more (money)! [Terrance and Phillip walk up to him]"
Canada on Strike,Terrance,"Look, buddih, me and Phillip need to go home for a bit."
Canada on Strike,Stephen Abootman,Go home?! You can't leave the picket line!
Canada on Strike,Terrance,"But this is taking too long, and Phillip is diabetic."
Canada on Strike,Stephen Abootman,"Look, guy, we are to stay strong! If you don't stand with your fellow Canadians, then you are a rat!"
Canada on Strike,Terrance,"Don't call me a rat, buddih!"
Canada on Strike,Stephen Abootman,"I'm not your buddih, friend!"
Canada on Strike,Phillip,"He's not your friend, guy!"
Canada on Strike,Stephen Abootman,"I'm not your guy, buddih!"
Canada on Strike,Terrance,"He's not your buddih, friend!"
Canada on Strike,Stephen Abootman,"I'm not your friend, guy! [all three fall silent, and Stephen goes forward] Don't you two understand anything?! You think striking is a joke?! You think it's something to ridicule?!"
Canada on Strike,Weird Hat Guy,"[pops in] Yah, you think this is funnih?"
Canada on Strike,Stephen Abootman,[moves to address the whole crowd] Don't you see that we have to stand together or else we have nothing?!
Canada on Strike,Aide 1,[runs up with a cell phone] Stephen! Stephen! A call came in from the United States! They want to talk to you aboot ending the strike!
Canada on Strike,Stephen Abootman,"What did I tell you?! I told you we'd get to them sooner or later! [the crowd gets excited and starts chatting] Shh, shh, quiet everyone! Let me handle this. [everyone falls silent as he takes the call] Yes. This is Stephen Abootman, head of the WGA."
Canada on Strike,Kyle,"Uh, hi, we want you to end this strike. [he's calling from his house, with the other boys standing back aways]"
Canada on Strike,Stephen Abootman,"Oh you do, huh?! [muffles the phone, then tells the others] They've had enough. They want us to end the strike. [everyone cheers] Quiet, quiet, shh, shh, sh- quiet, quiet! Let me deal with this. [the Canadians fall silent and Stephen returns to the phone] All right, we're prepared to end this strike! If you are agreeing that we should have more monihhh!"
Canada on Strike,Kyle,We totally think you should have more money.
Canada on Strike,Stephen Abootman,"Wwe got 'em! We did it! [jumps up and down with much energy. Everyone cheers. ""Great job!""] All right, how much are you gonna give us?"
Canada on Strike,Kyle,Huh? Well we don't really have that much money.
Canada on Strike,Stephen Abootman,"Oh, negotiating hardball, are we?! What about all that Internet money?!"
Canada on Strike,Kyle,The Internet?
Canada on Strike,Stephen Abootman,"You listen to me, friend! [walks away from the crowd so they don't hear him so loudly] You'd better figure out a way to get us our fair amount of money, and until you come back with a solid fair number, I'm finished talking to you, you slimy corporate dickhead! [hangs up, then faces the crowd] Don't worry, don't worry. This is how negotiating works. This is good. We've got 'em by the balls."
Canada on Strike,Scene Description,Kyle looks at the phone dumbfounded. The other boys walk up
Canada on Strike,Stan,What'd they say?
Canada on Strike,Kyle,They said we have to give them money that we make on the Internet.
Canada on Strike,Cartman,How are we supposed to make money on the Internet?
Canada on Strike,Butters,"Well, how do other people make money on the Internet?"
Canada on Strike,Kyle,We'd have to put something up on the Internet that everyone would find fascinating.
Canada on Strike,Cartman,[steps up] Wait. I've got it.
Canada on Strike,Scene Description,"A video. Butters is on a stage with bluescreen so it looks like he's actually in a spaceship. He's in his normal clothes, and he begins to dance. To his right rises Spaceman Butters, and to his left rises Pajama Butters."
Canada on Strike,Butters,"I said what what? In the butt I said what what? In the butt I said what what? In the butt [the teddy bear outfit returns] I said what what? In the butt You wanna do it in my butt, in my butt? You wanna do it in my butt, in my butt? You wanna do it in my butt, in my butt? [Stan gives a thumbs-up. Cartman does the same. The video is on YouToob] Let's do it in the butt. O-kay! [from behind a big chocolate heart] It's okay [Butters floating in space] Ih-if you have a little fight [Nelly in her room watches the video] Don't you worry [Butters bites into the heart] I won't bite (Not that hard) [Spaceman Butters] If you want it [a man watches the video] I'll give you power Just be gentle [Flower Butters] I'm delicate like a flower Give it to me, if you please Give it to me, if you please"
Canada on Strike,Nun,Oh my.
Canada on Strike,Butters,"[now in three voices] I said what what? In the butt I said what what? In the butt [wearing black jeans with ""what what"" on the butt] I said what what? In the butt I said what what? In the butt You wanna do it in my butt, in my butt? You wanna do it in my butt, in my butt? [a naked Butters holds a rose] You wanna do it in my butt, in my butt? Let's do it in the butt. O-kay!"
Canada on Strike,Scene Description,Kyle's room. The boys have been watching the video from there
Canada on Strike,Cartman,There's more people viewing it!
Canada on Strike,Stan,This is going great!
Canada on Strike,Kyle,"[walks over to the window] Don't worry, Ike! The strike will be over soon! [Ike is on his back]"
Canada on Strike,Scene Description,"Canada, night. The Canadians are beat. Some walk around listlessly, others have facial hair, all have bags under their eyes"
Canada on Strike,Tom,"And in other world news, the leader of Japan today is calling for an increase in military spending."
Canada on Strike,Aide 1,How come they never mention anything about us?! When are they gonna get to the strike?!
Canada on Strike,Stephen Abootman,"Don't worry, the strike is big news. I'm sure it will be one of the top stories."
Canada on Strike,Tom,"In other news tonight, it the Internet video that has already seen over ten million views. A young confused-looking boy dancing and singing a song called ""What What (In My Asshole)""."
Canada on Strike,Reporter,"[in front of Butters' house] Tom, in just one week the video has become the most watched thing in all of America. [Butters appears at his bedroom window and waves at the camera] The boy in the video, referred to by most as ""that little gay kid"", [Butters stops and leaves the window] has already been asked to appear on Jimmy Kimmel and The Today Show."
Canada on Strike,Stephen Abootman,Aw damn it that's not news! What about us?!
Canada on Strike,Phillip,"Look, ah, Stephen, Terrance and I were talking andeh, well it's, it's starting to look like maybe we're not gonna win this thing, you know?"
Canada on Strike,Stephen Abootman,We'll win! We'll just have to stay resilient!
Canada on Strike,Phillip,"Wull, yeah, but everyone is dying of starvation."
Canada on Strike,Terrance,"Yeah, let's give it up, guy."
Canada on Strike,Stephen Abootman,"Don't call me your guy! I'm not your guy, friend!"
Canada on Strike,Terrance,"Well I'm not your friend, buddih!"
Canada on Strike,Stephen Abootman,"Well I'm not your buddih, guy!"
Canada on Strike,Woman 2,Wait! Here it is! Turn it up! We're on!
Canada on Strike,Tom,"And finally tonight, a new development in the Canada strike. For those of you who don't remember or don't care, Canada has been striking for more money. [the Canadians cheer]"
Canada on Strike,Stephen Abootman,"All right! Shh! I told you, I told you, listen, listensh, listen listen listen."
Canada on Strike,Tom,"In a shocking turn of events, it now appears that thousands of people from Denmark are flooding into the United States with hopes of taking the place of the striking Canadians."
Canada on Strike,Stephen Abootman,What?
Canada on Strike,Scene Description,An airport. A plane from Denmark is parked on the tarmac and Danish people pour out of it. The Danish have both Canadian and normal features - Canadian bodies and jaws and normal eyes
Canada on Strike,Female reporter,Do you really think you Danish can replace the Canadians?
Canada on Strike,Danish man,"Well, where we come from it's pretty cold too, ja. We like hockey and nobody really pays any attention to us."
Canada on Strike,Danish woman,Nobody knows where Denmark is.
Canada on Strike,Danish man,"Right. So when you think about it, we're the Canadians of Europe."
Canada on Strike,Scene Description,Back in Canada
Canada on Strike,Stephen Abootman,SCABS! How could you?! [runs up to the TV annd destroys it with one kick]
Canada on Strike,Scene Description,"A lobby, somewhere. DIM, it says. Department of Internet Money. Stan and the boys walk up to the help desk. They look around before Stan steps forward"
Canada on Strike,Stan,"Ah, hi. We made a really successful thing on the Internet, and we'd like to collect our money."
Canada on Strike,Clerk,Take a number and wait with everyone else.
Canada on Strike,Cartman,"Ma'am, perhaps you don't recognize the Internet sensation Little Gay Kid from YouToob."
Canada on Strike,Clerk,[not taking time out from her work] Take a number and wait with everyone else! [Stan takes a numbered slip from the dispenser and leads the other boys to some seats in a waiting room nearby]
Canada on Strike,Tay Zonday,"[slowly, a little creepily] Chocolate Raaain."
Canada on Strike,Butters,Aaah. [another man walks up to the boys]
Canada on Strike,Tron Guy,"Hey, I know you. You're the ""What What (In My Asshole)"" kid."
Canada on Strike,Butters,"[insulted, crosses his arms] ""What What (In The Butt),"" sir."
Canada on Strike,Stan,It's Tron Guy. I saw him on YouToob.
Canada on Strike,Tron Guy,"Yeah, sure. All the biggest Internet stars are here. You remember, of course, Numa Numa. [to his right is the Numa Numa guy. He begins dancing to a song]"
Canada on Strike,Numa Numa Guy,"Ma-iyahi Ma-iyahu Ma-iyaho, Ma-iyaha ha."
Canada on Strike,Tron Guy,"And the Star Wars kid. [the kid starts to dance around as in his video] And the Internet sensation Cute Sneezing Panda. [as in its video, the mother panda sneezes as soon as her child moves] And there's Dramatic Look Gopher. [the camera pans by a lonely girl and focuses on the gopher, who seems to notice the camera is on him. He quickly turns to face the camera and freezes]"
Canada on Strike,Cartman,"Wow, I've seen all you guys on the Internet!"
Canada on Strike,Tay Zonday,"[to Butters] So, how many people have seen your Internet video?"
Canada on Strike,Butters,Uhhh a few hundred thousand?
Canada on Strike,Tay Zonday,"Huh, mere peanuts. Chocolate Rain has done gangbusters. Theoretically, I'm a millionaire."
Canada on Strike,Cartman,"Dude, screw you. Your Internet thing was so last year."
Canada on Strike,Chris Crocker,[jumps in out of nowhere] Leave Chocolate Rain Guy alone! Leave him alohohone! I'm serious! [a phone rings and Kyle digs into his pocket]
Canada on Strike,Kyle,[finds the phone...] Excuse me. [...leaves his seat and exits the waiting room. Then he takes the call] Hello?
Canada on Strike,Stephen Abootman,[sitting on a cardboard box] You greedy corporate fat cat. You said you would get us moneh.
Canada on Strike,Kyle,Wait we're working on it.
Canada on Strike,Stephen Abootman,[stands and moves forward] You're stalling! Because you think I'll give up. You know that most Canadians are talkin' about giving up the strike already. [coughs away from the phone] You've got me over a barrel and you know it!
Canada on Strike,Kyle,"Sir, we're doing everything we can."
Canada on Strike,Stephen Abootman,"You want me to say it again?! You've got me over a barrel! There, you happy?! You've got me bent over a barrel with my tender ass just waiting to be pulverized by your thrusting manhood! [Kyle stays quiet] Do you realize how stupid I'm going to look if I call off the strike after starting all this?! I won't do it! You hear me, guy?! You're wrong! No matter what happens I will never call of this strike! Even if it means we all. Die."
Canada on Strike,Kyle,We don't want you to die.
Canada on Strike,Stephen Abootman,Then you'd better hurry. We don't have much longer. The blood will be on your hands. [slowly hangs up]
Canada on Strike,Scene Description,Back at the waiting room... Kyle returns
Canada on Strike,Kyle,"We have to speed this up! [to Chocolate Rain Guy] Uh, can we collect our Internet money in front of you, please?"
Canada on Strike,Tay Zonday,I don't think so. Nothing takes priority over Chocolate Rain.
Canada on Strike,Star Wars Kid,"Oh, here he goes with the ego again. Who crowned you the top Internet star?!"
Canada on Strike,Tay Zonday,I did. When I became bigger than all you bitches.
Canada on Strike,Tron Guy,"Oh please, Laughing Baby had four times as many views as you! [the baby begins to laugh and laugh...]"
Canada on Strike,Tay Zonday,"You'd better shut your fuckin' mouth, Laughin' Baby!"
Canada on Strike,Afro Ninja,Did you all forget about Afro Ninja? My Internet thing was bigger than anybody's. I made over a hundred million theoretical dollars.
Canada on Strike,Star Wars Kid,Well Sneezing Panda is theoretically worth billions!
Canada on Strike,Tay Zonday,You all wanna motherfuckin' die?! [whips out a Glock and cocks it]
Canada on Strike,Chris Crocker,NOOO! [grabs the gun and tries to wrestle it from Chocolate Rain Guy]
Canada on Strike,Scene Description,A battle royal begins. Tron Guy whips out a frisbee and chucks it at Numa Numa. It hits Numa Numa's left cheek
Canada on Strike,Numa Numa Guy,Haw!
Canada on Strike,Scene Description,"Afro Ninja fights the Star Wars Kid, Numa Numa fights Tron Guy, Chris Crocker fights Chocolate Rain Guy. Afro Ninja knocks Star Wars Guy away with his nunchucks, then tries a back flip and falls on his face. He gets up groggily and stumbles away. The baby laughs some more"
Canada on Strike,Kyle,"Okay, forget it. We'll wait our turn."
Canada on Strike,Tron Guy,Hai Hayaaa!
Canada on Strike,Numa Numa Guy,"Ma-iyahi Ma-iyahu Ma-iyah- [kicks Tron Guy in the balls, then lands a left hook on his face]"
Canada on Strike,Chris Crocker,[jumps in to separate the two men] Leave Tron Guy alone! Leave him alone! [the baby continues laughing. Chocolate Rain Guy grabs Chris Crocker by the hair and drags him around. Chris is screaming]
