Britney's New Look,Photographer 3,Hey look!
Britney's New Look,Scene Description,The streets. Kyle continues to lead the paparazzi away from Britney and tries to lose them at the same time
Britney's New Look,Manager,"There she is. Hey Britney, it's me. [Kyle ignores him and keeps running. He joins the paparazzi in chasing ""Britney"" down. Kyle runs through a park; they're right behnd him. Kyle runs into a garden full of statues, stops, and turns around] Britney. It's over. What were you runnin' for anyway?"
Britney's New Look,Reporter,"Hey, wait a minute. Where's her camel toe?!"
Britney's New Look,Kyle,"[takes off the sunglasses] I'm not Britney Spears, all right?!"
Britney's New Look,Paparazzo 5,"Ooo, psych!"
Britney's New Look,Manager,She must be back at the train station; come on! [they turn around and go back]
Britney's New Look,Kyle,"Now, wait a minute! Everyone just stop for one minute! [the group turns around. Kyle drops the sunglasses] Look, you guys are gonna end up killing her. Can't you see that Britney isn't in any condition to handle this crap anymore? I know watching celebrities go down can be fun. Me and my friends are just as guilty as all of you, but maybe, we'll just, maybe, ...it's time to let this one go. Just this one time, let's, let's all stop before it's too late, huh?"
Britney's New Look,Paparazzo 6,"[steps forward] Son, you don't seem to understand. Britney Spears... has to die."
Britney's New Look,Kyle,[quizzically] Huh? [thunder starts rolling in the distance]
Britney's New Look,Paparazzo 7,What do you think all this effort has been for?
Britney's New Look,Manager,[a sinister smile crosses his face] It cannot be stopped. The purpose is too great.
Britney's New Look,Officer,It's not just the press. Everyone agrees. She must... die.
Britney's New Look,Background Singers,Hetus. Alte omnebus. [the photographers begins to join in] Virtu e poquebus. [other adults join in this nonsensical Latin chant]
Britney's New Look,Scene Description,The TransTrak train heads north through the Rockies
Britney's New Look,Narrator,"Little Stanley was tired and hungry. But he knew that for Britney Spears to be safe, he had to get her to the North Pole."
Britney's New Look,Stan,"You doing okay, Ms. Spears? [she gargles. From the train's cab, the conductor looks back at Britney and Stan through the cab door's window]"
Britney's New Look,Conductor,"[on the phone] It's her. Um no, I'm sure it's Britney Spears; [looks at a photo] it looks just like the picture. [the photo he holds is that of a camel's toe, not of Britney] You want me to, to what? Yes, I understand. [begins chanting] Rectus. Hoc honebus"
Britney's New Look,Scene Description,"A small town. A car stops and its passengers empty out: Britney's manager, two cameramen, and Kyle. The manager walks up to an elderly man and shakes hands with him"
Britney's New Look,Elderly Man,"Hello, I'm Bob Summers, so happy you picked our little town."
Britney's New Look,Kyle,What is going on?! Why do you want Britney Spears to die?!
Britney's New Look,Bob Summers,"Well nobody wants her to die, little boy. We all simply... need her to. Do you understand?"
Britney's New Look,Kyle,NO!
Britney's New Look,Paparazzo 8,"Look, kid, throughout history people have found it necessary to engage in... human sacrifice."
Britney's New Look,Bob Summers,"In ancient times, humans would commonly pick one lovely girl, adorn her with jewels, treat her like a goddess, and then... watch her die."
Britney's New Look,Paparazzo 9,"We like to think we're more civilized now, but the truth is our lust for torture and death is no different than it was in gladiator times."
Britney's New Look,Paparazzo 10,Only difference is that now we like to watch people put to death through magazines and photographs.
Britney's New Look,Canadian Paparazzo,It's a damn shame too. Old ways were bettah. Used to be we just picked someone by lottery an' then stoned them to death.
Britney's New Look,Woman,Stonin' to death was too violent. Rather have the sacrifice kill itself.
Britney's New Look,Kyle,You mean everyone has been wanting Britney Spears to kill herself?
Britney's New Look,Man,"Britney was chosen a long time ago, to be built up and adored, and then sacrificed. For harvest."
Britney's New Look,Paparazzo 11,"All right, everyone's about here."
Britney's New Look,Kyle,[bewildered] Who's everyone?! Who all is in on this?!
Britney's New Look,Scene Description,The TransTrak train. Everyone is sleeping when the train comes to a sudden stop and the whistle blows. They wake up.
Britney's New Look,Male passenger,"Hey, where are we? This isn't right. [Stan looks out the window quickly. Outside is an empty field, but a horde of photographers race through it and reach the train, clamoring for her attention and ready to take pictures]"
Britney's New Look,Stan,Oh no!
Britney's New Look,Britney,Ohhh thoooo!
Britney's New Look,Stan,"[hops down and grabs Britney's hand] Come on, Britney! [pulls her out the opposite side and into the field] Come on, come on! [as they run, Kyle's hat falls away. They reach the end of the field and enter a clearing. They look around and find themselves surrounded. All sorts of people are there, not just paparazzi. The escape route they just used is closed off by more spectators. Stan looks around and some faces are recognizable, like Irene. Sheila and Gerald show up]"
Britney's New Look,Kyle,"Mom, Dad! [runs up to them] They're gonna kill her! They're going to in-. Wait, what are you doing here?"
Britney's New Look,Gerald,"It's okay, Kyle. Just... be a good boy."
Britney's New Look,Kyle,Be a good boy? You know all about this?
Britney's New Look,Stan,"Kyle, what the fuck is going on now?"
Britney's New Look,Kyle,"She's been built up to be sacrificed, Stan!"
Britney's New Look,Stan,Sacrificed? For what?
Britney's New Look,Randy,"For harvest, Stanley. Same reason we've always done it."
Britney's New Look,Canadian Paparazzo,"Sacrifice in March, corn have plenty starch."
Britney's New Look,Kyle,Corn harvest!
Britney's New Look,Randy,"We haven't told you about it, Stanley, because we, we like to wait until kids are a little older to talk to them about things like condoms and ritualistic human sacrifice for harvest."
Britney's New Look,Stan,"All right, enough already! This has all gone on long enough!"
Britney's New Look,Manager,The kid is right. This has gone on too long.
Britney's New Look,Paparazzo 12,Yeah. She was supposed to have killed herself a long time ago.
Britney's New Look,Farmer,And harvest is coming soon.
Britney's New Look,Bob Summers,"All right, folks, let's finish this quickly. [everyone whips out a camera and starts taking pictures, closing in on Britney all the while]"
Britney's New Look,Stan,"No wait. [Britney groans. People get close, take pictures, then make way for more people]"
Britney's New Look,Woman 2,"Come on, hurry up."
Britney's New Look,Woman 3,"[obese] I can't run. You go ahead, I'll catch up with ya. [the barrage of picture-taking continues. The McCormicks come up to take pictures. Britney drops to the ground, sort of pleading to be left alone]"
Britney's New Look,Mother,"Here Davey. [hands a camera to her son. The barrage continues, with Randy, Liane, other familiar faces... Britney wilts under the lights and finally lies down completely]"
Britney's New Look,Bob Summers,[throws out his arms] Hold on. [a doctor walks up and checks for vital signs]
Britney's New Look,Doctor,She's dead.
Britney's New Look,Randy,"Well, I think it's time for us to leave the poor girl alone. [everyone turns and goes off in different directions under a windy and thunderous sky. Stan is left alone staring at Britney's corpse. Kyle is a little further away, but he too looks at the corpse]"
Britney's New Look,Scene Description,"Harvest time, dawn. The corn fields are shown, their stalks tall and full of corn. Three men are harvesting corn by hand nearby, and a motorized harvester takes care of corn in the distance"
Britney's New Look,Scene Description,"The town, late morning. A farmer's market is up. Two men are shown close-up in a booth stocked with yellow and white corn"
Britney's New Look,Gil,Mornin' Bill.
Britney's New Look,Bill,Mornin' Gil.
