Douche and a Danish,Lennart,"Get everyone back inside. If this girl really is that smart and funny, we might have another shot here. [the other Dane goes away]"
Members Only,Butters,"Yeah, well I swear I don't care how many times Amy Schumer talks about her vagina, I laugh every time."
Members Only,Cartman,"[looks at Heidi, then at Butters, then in a low voice] Oh, I see what you're doing."
Members Only,Heidi,"What, babe?"
Members Only,Cartman,"Oh nothin', babe. I'm just... Do you think you could tell me some jokes?"
Members Only,Heidi,[giggles] Why do you want me telling you jokes all the time?
Members Only,Cartman,Because you're [glares at Butters] fucking hilarious.
Members Only,Heidi,"Well, did I tell you the one about the skeleton and the skunk?"
Members Only,Butters,[laughs] That's already funny! [Cartman gets frustrated and makes a fist with his left hand]
Members Only,Scene Description,The Pentagon
Members Only,Second general,"All around the world, countries are mobilizing armies and preparing defensive countermeasures."
Members Only,Garrison,Why? What the hell happened?
Members Only,First general,This is everything you need to know about the TROLL TRACE program.
Members Only,Garrison,What's TROLL TRACE?
Members Only,First general,A plan by the Danish to release the full internet histories of everyone on Earth.
Members Only,Second general,"The previous administration tried to work with the Danish by handing over several trolls, but the plan didn't work."
Members Only,First general,The entire world has become very uncertain and unstable.
Members Only,Second general,We think we should order all navy vessels to the Bering Sea.
Members Only,Garrison,For what?
Members Only,First general,"Because when the Chinese are able to see all our e-mails and online activity, we believe they will most likely attack us. Also, there are ground troops mobilizing in Paris because the French believe when we see all their e-mails, we will most likely attack them."
Members Only,Third general,"Mr. President, sir! The Russians are asking what we intend to do about the Danish."
Members Only,Garrison,"Well, why are you asking me?"
Members Only,Second general,"Please, sir, we have very little time before this escalates beyond our control."
Members Only,Scene Description,"The Kremlin, Russia, day. What follows is what's on the video, although the language is said to be Russian."
Members Only,Aide 1,"Президент Путин, Датское утверждает, что они всё ещё готовы включить программу Troll Trase."
Members Only,Putin,"Это всё, что я сказай, всё, что я сделай на Интернет будет доступно моей подруге?"
Members Only,Aide 1,"Да, кажется так."
Members Only,Putin,"Датское должно быть оставновлены! Мы нужно знать, как Соединённые Штаты стоят на этом! [behind him, the phone rings at his desk and a second aide pops in to answer it]"
Members Only,Aide 2,"Э... Господин президент, Овальный кабинет. [Putin walks to the phone]"
Members Only,Putin,"Да, это президент Путин."
Members Only,Memberberry 3,'Member the Death Star?
Members Only,Memberberry 1,"Ahahaha, 'member cutting open tauntauns?"
Members Only,Memberberry 4,"Yeah, yeah, 'member the Force? [the berries chuckle]"
Members Only,Putin,Что это такое?
Members Only,Tubbs,"Heheh, heheh, yeah, sure, I 'member."
Members Only,Memberberry 1,Member McGy-?
Members Only,Tubbs,"Sure, I 'member."
Members Only,Memberberry 3,'Member?
Members Only,Memberberry 2,"Heheh, hey hey hey, 'member the Cold War?"
Members Only,Memberberry 1,Oh I loved the Cold War! That was fantastic!
Members Only,Scene Description,"SpaceX, day. Everyone is still waiting for the ride to Mars."
Members Only,Tour assistant,"Okay, Numbers 204 through 215, you can come on through."
Members Only,Cartman,"[leaves with Heidi] Oh, finally."
Members Only,Butters,"Hey, that's me too. Yippee!"
Members Only,Tour assistant,"Right in here, everyone. [The group, which includes Cher, walks in, and the door slams shut behind them]"
Members Only,Elon Musk,"Hello, everyone, and welcome to the tour. I'm Elon Musk. Are we gonna have some fun today?"
Members Only,Cartman,"Oh great, a stupid tour guide. Can we just talk to someone important please? We want to go to Mars."
Members Only,Elon Musk,"And getting anywhere takes ingenuity. Oh, Mrs. Door? Would you mind... opening, please?"
Members Only,PA door voice,"[interactive doors] Yes, Elon. [the doors rattle, but don't open. Elon turns and opens them manually. A chime plays as the doors open, and Elon leads the group onto the factory floor]"
Members Only,Elon Musk,"The only way for humankind to survive is with imagination and technology. Cars that run on electricity. Solar panels that replace roof shingles. Even food that changes form. You see this? It's a pizza, only four inches long. And yet, when heated, it expands to make enough pizza to feed a hundred people. I call it the pizza... pocket."
Members Only,Cartman,[whispering to Heidi] They already have Pizza Pockets.
Members Only,Elon Musk,Who would like to see the Hyperloop? A new mode of travel that can take you from here to Dubai in nine minutes.
Members Only,Cartman,"Excuse me, Mr. Musk, this is all super interesting and shit, but can we see the Mars rocket now?"
Members Only,Scene Description,"Meanwhile, at the Pentagon..."
Members Only,Staffer 1,"Sir, India is moving aircraft carriers into the Gulf of Mexico."
Members Only,Garrison,Well why would we care about Mexicans?!
Members Only,Staffer 2,"[in winter fatigues] Sir, a message from Saudi Arabia. They say they pinky-promise not to look up our Internet history if we pinky-promise not to look up theirs."
Members Only,Garrison,Well what does that even mean?!
Members Only,Staffer 3,"[in winter fatigues] Still waiting on if we should send troops into Japan, sir."
Members Only,Garrison,"I don't know, jeez!"
Members Only,First general,"Sir, it's the UK Secretary of Foreign Affairs calling from London. He says they have advice for you."
Members Only,Garrison,What?
Members Only,Boris Johnson,"Yes, hello? Things aren't looking good here. We just want to say, whatever you do, don't eat the membberries."
Members Only,UK aide,[overhearing] Don't eat the membberries. They are bad.
Members Only,Garrison,Memberries?
Members Only,Boris Johnson,"I'm afraid everyone here who ate the memberries wanted to go back in the past, you see. Hasn't worked out too well for us."
Members Only,UK aide,We shouldn't have ate the memberries!
Members Only,Boris Johnson,"The memberries cloud your judgement. They get inside your head, you see."
Members Only,Garrison,"Get inside your head... Wait a minute... Nobody gets in my head, you limey bitch! Are you insulting me?! Stop wasting my time! 'Cause I'll have you here on a plane in five hours suckin' my dick!! [slams the phone down on the receiver]"
Members Only,UK aide,What'd he say?
Members Only,Boris Johnson,I believe they've eaten the memberries.
Members Only,UK aide,"Ooh, dear!"
Members Only,UK aide 2,"Ooh, dear!"
Members Only,Scene Description,"SpaceX tour, day. The tour is winding down."
Members Only,Elon Musk,"Here you see our Falcon 9 full-thrust rockets. They are actually able to take off into space and land safely back on Earth for reuse. [the group moves back to the lobby] Well, I certainly wanna thank you all for joining our tour today. You've been a wonderful group. Give yourselves a round of applause."
Members Only,Groups,Huh?
Members Only,Cartman,"Whoawhoawhoawhoa, what about going to Mars?"
Members Only,Elon Musk,Mars? We're still about ten years away from going to Mars. Maybe eight.
Members Only,Groups,Awwww.
Members Only,Cartman,"No, no nonono, we have to go now!"
Members Only,Elon Musk,"Well I'm sorry, but it's a bit more complicated than a pizza pocket. Going to Mars is gonna take a lot of very smart people working very hard for a very long time. Now, if you don't mind, I have hundreds of more tours to do. [turns to exit the lobby]"
Members Only,Butters,"Mr. Musk, wait! [Musk turns around] Maybe we can help you get to Mars sooner. I'm not sure if you know our friend, Heidi. She's really smart, and really funny. [Cartman flashes an angry face at Butters]"
Members Only,Elon Musk,Like... how funny?
Members Only,Scene Description,"The White House. Some member berries have formed a group and are performing ""Africa"". A vintage car horn is heard and the mob boss arrives with some henchmen. ""Sing Sing Sing"" blares from the radio."
Members Only,Don,"Out of the way, 'member?"
Members Only,Berry Henchmen,"You'd better 'member if you know what's good for youse! [the car moves through the crowd, down the corridors and into the Oval Office]"
Members Only,Memberberries,"Hey look, it's them. 'Member? Sure, I 'member. [the mobster berries get out of the car]"
Members Only,Don,"Ey, youse did good. Who's in charge, 'member?"
Members Only,Memberberry 3,We decided he's in charge.
Members Only,Memberberry 1,"No, we said I'm in charge, 'member?"
Members Only,Memberberry 4,"No wait, I 'member. We all said he's in charge. [leans to the left]"
Members Only,Memberberry 2,"Oh yeah, I 'member."
Members Only,Don,Wrong. [shoots Member Berry 2 clear through. Member Berry 2 collapses and bleeds out green juice]
Members Only,Memberberry 3,Waaah!
Members Only,Don,'Member stormtroopers?
Members Only,Memberberry 2,"Sure, I 'member."
Members Only,Don,Not those stormtroopers! The real old ones. People wanna 'member? They're gonna 'member.
Members Only,Scene Description,"The Broflovski house. Kyle comes home from school and is about to go upstairs when he sees Ike in a corner, in time out. Ike has his head against the wall."
Members Only,Kyle,"Ike? [Ike looks back at Kyle, then puts his head on the wall again] What are you doing?"
Members Only,Sheila,Don't talk to him! He is in big trouble!
Members Only,Kyle,Well what'd he do?
Members Only,Sheila,"It's him, Kyle! Your brother is the internet troll who's caused all this pain in our community!"
Members Only,Kyle,What?
Members Only,Sheila,It was him all along. Now we have to figure out what to tell people when they learn this ugliness came from our family. [walks back into the kitchen]
Members Only,Kyle,You made people quit Twitter? You started a war between boys and girls? You...?
Members Only,Scene Description,Kyle stops and thinks back to the clues he's heard in recent days.
Members Only,Heidi,"I call it ""Emoji Analysis"". It isn't a student, it's an adult."
Members Only,Sheila,This ugliness came from our family!
Members Only,Heidi,I think it's one of the parents.
Members Only,Gerald,You're suppose to just laugh and make fun of shit.
Members Only,Ike,Daddy called you a pussy.
Members Only,Kyle,"[stops thinking back] Oh my God. Oh my God! Ike, come on! [grabs Ike's hand and rushes out the front door with him. Sheila hears the front door open and looks around for her boys. She reaches the open front door]"
Members Only,Sheila,Kyle? Ike?! Whatwhatwhaaat?! [her voice echoes around the neighborhood]
Not Funny,Scene Description,In front of Park County Police Station. A crowd gets riled up while Harrison starts a speech.
Not Funny,Harrison,"Everyone calm down, please. We have to have civil order. Listen to me."
Not Funny,Scene Description,[crowd stops chattering]
Not Funny,Unknown person,Really?
Not Funny,Harrison,"Now I know everyone's scared, but we have to keep control. Yes all of our emails and Internet histories are about to become public knowledge."
Not Funny,Scene Description,[crowd chatters]
Not Funny,Harrison,"[raises his arms] But, but,"
Not Funny,Scene Description,[crowd stops]
Not Funny,Harrison,"we all need to understand that TrollTrace will never happen if people don't log on to use it. The website is a massive database that cross-references everything ever said on the Internet. It relies on people typing in a name and address of someone else [lays arms on stand] to add to that database. If we could all agree to resist the urge to look up other people's Internet histories, [looks at Maggie] Maggie, okay? As long as we all respect each other's privacy, darling, [looks straight ahead] then our town won't suffer the same fate as Fort Collins."
Not Funny,Stephen,"And what are the police gonna do to make sure people don't use it?! I know I'll certainly respect others' privacy, but about other people like [points at Laura] Laura Tucker the Blabbermouth?"
Not Funny,Laura,Excuse me?
Not Funny,Harrison,"And that's why we have to come together as a community, and resist any temptation to use TrollTrace, [looks at Maggie] Maggie. We have to stay in control. [looks in front of him] This hack of our city will never happen, so long as we rely on the rationality and the basic decency of the American people."
Not Funny,Scene Description,[crowd panics and runs away]
Not Funny,Harrison,Guess I could've worded that differently.
Not Funny,Scene Description,Kyle's room. Kyle sits on bed with his head lowered while Sheila stands near the doorway.
Not Funny,Sheila,[yells] What were you thinking?! How dare you outright defy me like that! Your brother was being punished for using the computer and you decide to just leave with him?
Not Funny,Kyle,"I just felt bad for him, ma."
Not Funny,Sheila,"You felt bad for him, after all the horrible things he said to people online?! Your brother is a sick troll, Kyle! You just wait until your father gets home. [leaves the room and closes the door]"
Not Funny,Scene Description,Ike's room. Ike sits on his bed miserably. He suddenly gets a Skype call from Gerald. Ike goes to his computer and accepts the call.
Not Funny,Gerald,"Ike, where the fuck have you been?! Daddy needs your help. You don't want Mommy and Daddy to get divorced, do you? [paces] You know how bad your mom is, she completely overreacts to everything. That's where your brother gets it from. You don't want to be like Kyle, do you?"
Not Funny,Kyle,[goes in front of the computer] Hi dad.
Not Funny,Gerald,"[gets shocked] Hey, buddy! Everything good there?"
Not Funny,Kyle,"It was you, this whole time. You're the troll that caused all of this trouble."
Not Funny,Gerald,"No, it was your brother. I don't know what's wrong with him, Kyle. He needs counseling..."
Not Funny,Kyle,Heidi Turner did an emoji analysis. It was an adult. It was you.
Not Funny,Gerald,"[starts talking right before Kyle finished] Shh, shh. Shh, shh. Okay, keep your voice down."
Not Funny,Kyle,[talks softly] Why dad? Why did you do this?
Not Funny,Gerald,"Because it's fucking funny, Kyle. It's called having a sense of humor, and laughing. You should fucking try it once in a while!"
Not Funny,Kyle,Putting a penis in the mouth of a mom who has cancer is funny?!
Not Funny,Gerald,"Because it's so not funny, God! Pushing people's buttons to get a reaction can actually be very good for society, Kyle. Listen to me, the Danish are fucking crazy. You have to get people to stop them."
