Fourth Grade,The Adults,Aww Oooo!
Trapper Keeper,Cops,"Wagghh! [hurry away. In the distance ""Bill,"" the two security guards, and Stan watch Trapper Keeper get bigger and bigger. Behind them, the rest of South Park gathers and sees the spectacle]"
Trapper Keeper,Mark,Well that does it. I'm gonna have to report this. [whips out a walkie-talkie and starts] Car one to base-- [another appendage reaches down and pulls him up and away] Aghh! [Trapper Keeper swallows him up]
Trapper Keeper,BSM-471,It is infusing with everything. It is already too powerful to stop!
Trapper Keeper,Stan,Kyle's got to succeed. He's just got to.
Trapper Keeper,Scene Description,Interior. Kyle struggles to make his way out of the little situation he's in
Trapper Keeper,Kyle,I can't reach the CPU.
Trapper Keeper,Scene Description,"Cheyenne Mountain, outside. A limo speeds up to the scene and encounters the Trapper Keeper, which is beginning to look like the tower in ""Bill""'s prophecy. Rosie O'Donnell pops out and walks up to it"
Trapper Keeper,Rosie,What are you doin'?! Get out of my way!
Trapper Keeper,Guard 2,"Oh, no! Now there's two of those things!"
Trapper Keeper,Stan,"No, I think that other thing is Rosie O'Donnell. [an indecisive appendage hovers over Rosie]"
Trapper Keeper,Guard 2,Huh? Which one? I-It's just like I'm seeing double.
Trapper Keeper,Rosie,"[to Trapper Keeper] I said, get out of my way! [another appendage wraps around her and tries to pull her in] Aaaaggghhhh!!! [Trapper Keeper swells and heaves, and the fleshy appendage swallows Rosie up] Ogh. Noo-- [the appendage pulls her up and into Trapper Keeper]"
Trapper Keeper,Trapper Keeper,Eeww.
Trapper Keeper,BSM-471,Look! I think that infusing with Rosie O'Donnell has made Trapper Keeper sick.
Trapper Keeper,Trapper Keeper,Oohh... Bad pie... Bad pie... [begins to deflate and wither. Its appendages wither and begin to drop off as it darkens]
Trapper Keeper,Stan,"This is your chance, Kyle! Cartman has weakened!"
Trapper Keeper,Scene Description,Interior. Cartman releases his hold on Kyle and Kyle drops to the floor. He quickly moves to the wall panel containing the CPU and pulls the CPU out along with some memory chips
Trapper Keeper,Kyle,Got 'em!
Trapper Keeper,Scene Description,"Cheyenne Mountain, outside. Trapper Keeper turns into a big mass of goo, and Kyle and Cartman are spat out. Rosie ends up half-eaten. Everybody begins to approach Kyle and Cartman"
Trapper Keeper,Stan,He did it!
Trapper Keeper,Scene Description,"South Park Elementary, kindergarten. The kids are seated around the round table, and their lawyers stand behind them arguing. Mr. Garrison sits at the head of the table listening"
Trapper Keeper,Mr. Garrison,"Okay, children, the lawyers for Ike's side have agreed with the lawyers on Filmore's side to hold another meeting regarding Form 22F. Do we all have that form? [the door opens, and in walks...]"
Trapper Keeper,Jesse Jackson,Is this the kindergarten classroom?
Trapper Keeper,Mr. Garrison,Jesse Jackson?
Trapper Keeper,Jesse Jackson,That's right! I believe the African-American in your class were misrepresented!
Trapper Keeper,Mr. Garrison,[covering his face] We don't have any African-Americans in our class!
Trapper Keeper,Jesse Jackson,Oh. Bye. [turns and walks out. Filmore raises his hand]
Trapper Keeper,Mr. Garrison,"Alright, so apparently what we're gonna do now is hand-count each person's ballot--"
Trapper Keeper,Filmore,"Mistoreh Garrison, I concede. [Mr. Garrison's jaw drops, as do those of Filmore's lawyers]"
Trapper Keeper,Mr. Garrison,"You... yuh, you what?"
Trapper Keeper,Filmore,"I don't wanna play anymore, 'cause this game is stupid."
Trapper Keeper,Sally,Yeah. It doesn't make any sense.
Trapper Keeper,Filmore,"Ike, you could be class president."
Trapper Keeper,Ike,I pooped my pants!
Trapper Keeper,Sally,[throws up her hands] Can we fingerpaint now?
Trapper Keeper,Kids,[clamoring] Fingerpaint! Fingerpaint!
Trapper Keeper,Mr. Garrison,Ohuh... Yes. [exults] Yes! Let's fingerpaint!
Trapper Keeper,Scene Description,Cheyenne Mountain. Stan and the others reach Cartman and Kyle
Trapper Keeper,Stan,"You did it, Kyle! [to Cartman] Kyle saved your life, fat ass!"
Trapper Keeper,BSM-471,Look! I'm fading! [begins to fade from view] It must have worked. I don't exist! [disappears]
Trapper Keeper,Stan,"Huh, that's a bitch."
Trapper Keeper,Cartman,"Oh. Well, I guess everything's fine now. So let's go home."
Trapper Keeper,Stan,"Hey! Whoa whoa whoa, Cartman! All you've been doing is making fun of Kyle and now he's saved your life! You at least owe him a thank you!"
Trapper Keeper,Cartman,"Awww, man..."
Trapper Keeper,Stan,Cartman!
Trapper Keeper,Cartman,"Alright, alright. [sighs] Kyle..."
Helen Keller! The Musical,Scene Description,"Stage rehearsal, day. Stan, Kyle, and Wendy are in costume on stage. Stan is dressed in a white suit and bowtie, and a fake beard and mustache. Kyle is dressed as a country doctor with starched collar, and Wendy is dressed in white pants, purple coat and beret, and bowtie. The stage itself has a door prop and a tripod table with a bowl and jar atop it. Kyle enters through the door."
Helen Keller! The Musical,Wendy,"Doctor, doctor! Will our daughter be okay?"
Helen Keller! The Musical,Kyle,"I am sorry, Mr. and Mrs. Keller, but I'm afraid your daughter Helen still cannot see, hear, or speak."
Helen Keller! The Musical,Wendy,Oh no! NO!
Helen Keller! The Musical,Stan,"'Ere 'ere, my good wife, 'ere is nothing we can do."
Helen Keller! The Musical,Wendy,My poor little Helen.
Helen Keller! The Musical,Timmy,"[enters through the prop door in blue dress and wig, and holding a doll - Helen Keller!] Timmiihhh!"
Helen Keller! The Musical,Wendy,"She can't see or hear us, John."
Helen Keller! The Musical,Timmy,"Heh-aaaah, Timmih!"
Helen Keller! The Musical,Stan,[very slurred - John Keller] E-yes. Perhaps she should go to an asyluh.
Helen Keller! The Musical,Cartman,"[in the second front row, directing] Stan, what the hell is wrong with you? I can't understand your lines!"
Helen Keller! The Musical,Stan,'Cause the 'eard 'urts my 'ace.
Helen Keller! The Musical,Kyle,Can we take a lunch break now?
Helen Keller! The Musical,Cartman,"No! If we want our play to be better than the kindergartners' play, we have to rehearse as much as possible! Now let's continue the scene!"
Helen Keller! The Musical,Bebe,"[enters the scene] Hello. My name is Anne Sullivan, and I believe I can teach this child to communicate."
Helen Keller! The Musical,Stan,Uh-eally? Uh you think so?
Helen Keller! The Musical,Bebe,"[slaps some water from a pitcher into Timmy's right hand] Water, Helen! Waaa-terr!"
Helen Keller! The Musical,Timmy,"Agh oh-ight, Timmih!"
Helen Keller! The Musical,Cartman,"God-damnit, Timmy! Helen Keller isn't supposed to talk!"
Helen Keller! The Musical,Butters,[a camera follows him to the auditorium at butt level; another camera shows him entering the room] Hey you guys! We got a big problem! [rushes onto the stage]
Helen Keller! The Musical,Kyle,"What is it, Butters?"
Helen Keller! The Musical,Butters,"The kindergartners! I just came from their dress rehearsal. Hoh, it's good, you guys. It's real good!"
Helen Keller! The Musical,Cartman,How good?
Helen Keller! The Musical,Butters,"They got Pilgrim outfits! And Indian ones, too! They've got singing and dancing and boy you've never seen such a show! Why, it's a Thanksgiving extravaganza!"
Helen Keller! The Musical,Clyde,"Oh, no!"
Helen Keller! The Musical,Kyle,We can't be outdone by the kindergartners!
Helen Keller! The Musical,Clyde,"Oh, now what?"
Helen Keller! The Musical,Stan,"Oh yeah, we can't!"
Helen Keller! The Musical,Cartman,"Alright, alright! Quiet down! Look, we still got four days until the Thanksgiving festival; that's plenty of time to revamp our play!"
Helen Keller! The Musical,Kyle,Revamp how? The rules are that the fourth grade class has to perform the Helen Keller Story.
Helen Keller! The Musical,Cartman,"Yeah, but nobody told us how we had to do it. We can have Thanksgiving stuff and music numbers, too."
Helen Keller! The Musical,Clyde,"Well, we can add music numbers, but how do we make the Helen Keller story more Thanksgivingy?"
Helen Keller! The Musical,Wendy,"I know! How about, instead of a dog, Helen Keller has a pet turkey."
Helen Keller! The Musical,Token,"Yeah, a turkey that could do tricks."
Helen Keller! The Musical,Kids,Yeah
Helen Keller! The Musical,Cartman,"That's the spirit, gang! Alright. Stan and Wendy, you go out and find some musical instruments! Kenny and Clyde, take some kids and buy some Thanksgiving decorations for the set! Kyle and Timmy, you go out and find a turkey!"
Helen Keller! The Musical,Kyle,Okay!
Helen Keller! The Musical,Cartman,This is gonna be the best version of the Miracle Worker ever!
Helen Keller! The Musical,Kids,Yay!
Helen Keller! The Musical,Scene Description,"a barn, with no snow around it. Cows are grazing on the grass outside. Inside, a rancher shows Timmy and Kyle around the barn."
Helen Keller! The Musical,Rancher,What kind of turkey are you lookin' for?
Helen Keller! The Musical,Kyle,"A smart one, that can do tricks."
Helen Keller! The Musical,Rancher,"Well, I ain't got a whole lot left, it bein' almost Thanksgiving and all. [opens a turkey pen so the boys can see] Go ahead, just pick one out. [Timmy looks pleased, looks around, and settles on a deformed turkey which walks with its head against the ground]"
Helen Keller! The Musical,Timmy,[apparently having chosen his turkey] Timmaay! [the turkey blinks at him]
Helen Keller! The Musical,Rancher,"[notices the turkey] Oh, that one's a little messed up. Not exactly the... pick of the litter."
Helen Keller! The Musical,Timmy,Haaaaa!
Helen Keller! The Musical,Kyle,"Uh, Timmy, if we back to the other kids with that turkey they're gonna be pissed!"
Helen Keller! The Musical,Timmy,TIMMAY!
Helen Keller! The Musical,Rancher,Yeah. Best you not take that one. I was just about to take it out in the yard and putt a bullet in its head.
Helen Keller! The Musical,Kyle,"What?! Aw, dude, don't say that!"
Helen Keller! The Musical,Timmy,T-TIIMMAY TIMMAY!
Helen Keller! The Musical,Kyle,"Alright, we'll take him. How much?"
Helen Keller! The Musical,Rancher,Fifty bucks.
Helen Keller! The Musical,Kyle,But you were just gonna take it out in the backyard and put a bullet in its head!
Helen Keller! The Musical,Rancher,I know! Now I gotta find somethin' else to shoot.
Helen Keller! The Musical,Kyle,"[thinks] ...God-damnit, here! [the rancher takes the money, walks over to get the turkey, and delivers the turkey to Timmy] Alright, Timmy, let's go! [Kyle and Timmy leave]"
Helen Keller! The Musical,Rancher,"I've got a one-legged pig if you'd like, too."
Helen Keller! The Musical,Kyle,"Aw, blow it out your ass!"
Helen Keller! The Musical,Scene Description,"The South Park Community Theatre. Here is where the class has been rehearsing for the play. The marquee reads: ""THANKSGIVING EXTRAVAGANZA WEDNESDAY"" Inside, Cartman has most of the kids on stage with a man..."
Helen Keller! The Musical,Cartman,"Guys, I want you all to meet Jeffrey Maynard. He's South Park's biggest expert on musical theater, AND, he played the lead in Les Misérables at the Denver Community Playhouse for five weeks."
Helen Keller! The Musical,Kids,[flatly] Bravo.
Helen Keller! The Musical,Wendy,Do you think we could make up a good Thanksgiving play in four days?
Helen Keller! The Musical,Jeffrey Maynard,[lyrically] I would swear it on my life. Your play shall want for nothing.
Helen Keller! The Musical,Kids,Hooray!
Helen Keller! The Musical,Jeffrey Maynard,"Now, the first thing a good musical needs is a big opening number. Something that sets up the entire show."
Helen Keller! The Musical,Cartman,"Alright! Places, everybody! Bring in the turkey! [Timmy's turkey sidles in with its head on the ground. Kyle and Timmy follow] What the hell is that?"
Helen Keller! The Musical,Kyle,It's a turkey. [long pause] His name is Gobbles.
Helen Keller! The Musical,Timmy,GOBBLES! [Gobbles gobbles]
Helen Keller! The Musical,Cartman,And where... pray... is our beautiful trick performing turkey?
Helen Keller! The Musical,Kyle,"Um, we... sssort of spend all the money on this... one..."
Helen Keller! The Musical,Timmy,GOBBLES! [Gobbles gobbles]
Helen Keller! The Musical,Cartman,"[looks at Kyle for a long time] Kyle, can I talk to you over here for a second? [they walk off to one side of the stage and stop, out of earshot] Kyle? Why do you do these things to me?"
Helen Keller! The Musical,Kyle,I didn't do anything to you. Timmy saw the turkey and wanted to get it. What do you want me to say to him?
Helen Keller! The Musical,Cartman,"You say, ""No, Timmy, you can't have that turkey! Bad Timmy!"""
Helen Keller! The Musical,Kyle,"[the rest of the cast approaches] Look, I know it isn't exactly what we wanted, but maybe we can train it."
Helen Keller! The Musical,?????,"He's not gonna work, Kyle. The whole point was to make our play better than the kindergartners."
Helen Keller! The Musical,Token,"Yeah, that turkey sucks."
Helen Keller! The Musical,Jeffrey Maynard,"[lyrically] Wait! What's that, you say? A thanksgiving turkey is what you require? I know of a turkey."
Helen Keller! The Musical,Stan,You do?
Helen Keller! The Musical,Jeffrey Maynard,[lyrically] During my years on Broadway I... worked with a turkey who could do all kinds of tricks. She even jumped through a hoop of fire.
Helen Keller! The Musical,Cartman,Cool! Can you get it for us?
Helen Keller! The Musical,Jeffrey Maynard,I will go promptly and call her trainer. On the morrow you shall have your trick performing turkey.
Helen Keller! The Musical,Kids,Alright! [Timmy takes Gobbles and wheels off stage]
Helen Keller! The Musical,Scene Description,"South Park, Timmy's house, night. Timmy is in his room with a hula hoop in hand, sitting on the floor"
Helen Keller! The Musical,Timmy,"Gobbles! [shows him the hoop and points to it. Gobbles just blinks. Timmy tries again] Gobbles! [Gobbles blinks, then walks up to the hoop and lifts his head through it. Timmy is dismayed] Up, heh. Uh! [coaxes Gobbles through the hoop. Gobbles trips and falls out. Timmy grins] Heeey, Gobbles! [Gobbles gets up and walks away. Timmy pulls out a lighter and sets the hoop aflame] Gobbles. [Gobbles just stares and Timmy urges] Gobbles! [Gobbles poops]"
Helen Keller! The Musical,Scene Description,"South Park, Cartman's house, night. Cartman is in his room rewriting a part of the play."
Helen Keller! The Musical,Cartman,"No no! [tosse another sheet over his shoulder, to join other wads on the floor. His mother enters the room]"
Helen Keller! The Musical,Liane,"Boopsie-kins, It's late. You need to be in bed."
Helen Keller! The Musical,Cartman,"I can't sleep, Mom! I have to write the lyrics for the opening song of our Helen Keller Thanksgiving spectacular!"
Helen Keller! The Musical,Liane,"Now, hon!"
Helen Keller! The Musical,Cartman,"[whining a bit] But [turns around] Mo-o-om, I have to write these lyrics so the plight of Helen Keller can be realized by the common man."
Helen Keller! The Musical,Liane,"Twenty more minutes, and that's it. [exits and closes the door]"
Helen Keller! The Musical,Cartman,"[spins around and gets back to work] Twenty minutes! Does Tim Rice's mom give him twenty minutes to write the lyrics to ""Phantom Of The Opera""?! [looks at a small portrait of Helen Keller on his desk, picks it up and studies it] Speak to me Helen. Let me be your voice. [after looking at the portrait some more, he gets frustrated and slams the portrait onto the desk] Come on, you blind bitch! Channel your spirit through me!"
Helen Keller! The Musical,Scene Description,"South Park, Timmy's house. Timmy is in bed asleep. Soon, Gobbles hops up on the bed and drops his head on the covers. He slowly inches up to Timmy's face, looking at Timmy all the while, and settles in next to him. Gobbles soon falls asleep. Timmy's left hand comes to rest on Gobbles' body. An exterior shot with the moon low in the sky is shown and fades out."
Helen Keller! The Musical,Scene Description,"The South Park Community Theatre, the stage, next day. rehearsal. Clyde is speaking under a spotlight"
Helen Keller! The Musical,Clyde,Tonight we present the story of a courageous girl and her fight against depression
Helen Keller! The Musical,Cartman,[in the audience] OP-pression!
Helen Keller! The Musical,Clyde,"Oppression. Our play begins in a simpler time. [music comes up] Alabama, in the late 1800s [spotlight goes off, Clyde walks off stage, curtains open. A lone house stands against a desert background and clouds float high against the sky-blue backdrop. Dancing singers begin]"
Helen Keller! The Musical,Actors,"1800's, Alabama! What a great place and time!We're so happy that we live in 1800's Alabama 'cause it's sunny and there is no crime!"
Helen Keller! The Musical,Jeffrey,[in the audience] Now to the refrain!
Helen Keller! The Musical,Actors,"And in this little town in 1800's Alabama there's a family by the name of Keller! [They dance off to one side of the house. A water pump appears] Their daughter's deaf and mute and blind as a bat, and her parents can't even tell her!!"
Helen Keller! The Musical,Lamond,"[a man with a small animal cage enters] Excuse me, I am Lamond, the animal trainer."
Helen Keller! The Musical,Clyde,Oh. [quickly calls the others] Cool! He's here! [the other kids gather]
Helen Keller! The Musical,Cartman,Awesome! Do you have a turkey that can do tricks?
Helen Keller! The Musical,Lamond,"Ap ap! Do not call them tricks! She's a very sensitive turkey! She performs feats, not tricks. Ladies and gentlemen, may I present the most beautiful bird in America! [sets the cage down] Four-time prize winner of the National Western Stock Show and reigning poster child of turkeylovers.com! I give you Alinicia! [one serious turkey walks out of the cage, and the kids are impressed]"
Helen Keller! The Musical,Cartman,Yeh.
Helen Keller! The Musical,Others,Wow.
Helen Keller! The Musical,Cartman,Whoa.
Helen Keller! The Musical,Bebe,Her feathers are beautiful.
Helen Keller! The Musical,Clyde,That's the prettiest turkey I ever saw.
Helen Keller! The Musical,Lamond,Of course she is! [she looks back at the kids and thrusts her beak in the air]
Helen Keller! The Musical,Cartman,"Okay! Now we can really get this thing underway! Places, everybody! [the kids move back...] Where the hell is Timmy?"
Helen Keller! The Musical,Timmy,[off screen] TIM-MIH! [all turn and face him. He's in costume with Gobbles before him. Gobbles raises his head and gobbles]
Helen Keller! The Musical,Lamond,What... is... that?!
Helen Keller! The Musical,Cartman,"Uh, that's Gobbles, the physically challenged turkey. [Timmy takes his lighter and sets his hoop on fire, then lowers it for his bird]"
Helen Keller! The Musical,Timmy,Gobbles! [Gobbles makes no move] Gobbles?!
Helen Keller! The Musical,Kyle,"Timmy, we already got a turkey."
Helen Keller! The Musical,Clyde,"Yeah, and it's from Broadway."
Helen Keller! The Musical,Timmy,[indicates his turkey] Gobbles.
Helen Keller! The Musical,Cartman,"No, Timmy! That handicapped turkey does not go in our play!"
Helen Keller! The Musical,Kyle,"Dude, don't forget: Timmy is the only kid who can play Helen Keller. Don't piss him off."
Helen Keller! The Musical,Cartman,"No, that's right. Only Timmy knows the part."
Helen Keller! The Musical,Timmy,[stubborn] Tim-mih.
Helen Keller! The Musical,Cartman,"Oh, Jesus! Okay, fine! Helen Keller can have TWO pet turkeys! [Alinicia protests vigorously, shedding feathers everywhere]"
Helen Keller! The Musical,Lamond,My turkey does not work with other turkeys!
Helen Keller! The Musical,Cartman,"Oh, God-damnit, now what are we gonna do?!"
Helen Keller! The Musical,Scene Description,"The South Park Community Theatre, later. Hallway outside a dressing room. The door opens and Lamond stands there trying to calm Alinicia down"
Helen Keller! The Musical,Lamond,"Alright, ah ah alright! Alri- ah a-alright. Alright. [exits and closes the door]"
Helen Keller! The Musical,Cartman,"[walks up] Dude, we need your turkey for our play!"
Helen Keller! The Musical,Lamond,She's not coming out. She's very upset! She's pooped all over the room!
Helen Keller! The Musical,Cartman,"I know, I know, but listen: Uh, let me try to explain the position I'm in here. The retarded turkey belongs to our friend, Timmy. And Timmy's the only person who knows the part of Helen Keller. So, so tell me what I can do here to make everybody happy?"
Helen Keller! The Musical,Lamond,[ominously] Kill the other turkey!
Helen Keller! The Musical,Cartman,I can't dude. Timmy has a boner for it.
Helen Keller! The Musical,Lamond,"Well, it could meet with ""an unfortunate accident."""
Helen Keller! The Musical,Cartman,"Unfortunate accident? You mean, like Geena Davis getting her own TV show? [laughs, but realizes he's alone in this] Oh."
Helen Keller! The Musical,Lamond,"It's very simple! Either that turkey meets with an unfortunate accident, or you don't have a feat-performing turkey for your Helen Keller Thanksgiving musical!"
Helen Keller! The Musical,Cartman,"Alright, alright! Just get your turkey to stop crapping all over the dressing room and come out for rehearsal! I'll take care of everything. [walks off]"
Helen Keller! The Musical,Scene Description,"The South Park Community Theatre, the stage, later. Bebe and Timmy are front and center while the others stand in a row in the background"
Helen Keller! The Musical,Bebe,"[enunciating] Water, Helen. It has a name. Oh, why can't you understand?"
Helen Keller! The Musical,Timmy,"Dehh haaa. [unimpressed looks from Cartman, Jeffrey, and Lamond]"
Helen Keller! The Musical,Bebe,"Water, Helen, Water."
Helen Keller! The Musical,Kids,She's never gonna do it. There's no way she'll ever do it.
Helen Keller! The Musical,Bebe,"Helen, Helen. Water, Helen."
Helen Keller! The Musical,Kids,How can she talk if she can't hear? This is absolutely pointless!
Helen Keller! The Musical,Cartman,"Okay, uh, hold it. Uh, let's hold it right there a second. [whisks himself onstage] Okay, I just want to adjust the blocking real quick. Hm-let's see. Uh, why don't we have Turkey #2 [starts moving Gobbles along] stand just a little bit more over... [puts it behind the Comedy Central logo] here. [mulls over the position] Let's see, maybe a little more up in here. [moves it a bit towards stage center] And just a wee bit over here. [Gobbles is back behind the logo, a bit] And right about... [moves Gobbles a bit back] hm'ere. [steps back] There we go. Good. [goes off stage. A cable whips out of place somewhere. A lighting fixture falls on Kenny and kills him]"
Helen Keller! The Musical,Stan,"Oh my God, they've killed Kenny!"
Helen Keller! The Musical,Jeffrey,Whoa-aaaa [dances away]
Helen Keller! The Musical,Cartman,"Aw, crap! I must've rigged the wrong light!"
Helen Keller! The Musical,Jeffrey,"[onstage, walks up to Kenny's corpse, then gets lyrical] Let him rest in peace. Let him rest. Why must he die?"
Helen Keller! The Musical,Butters,[a camera follows him to the auditorium at butt level; another camera shows him entering the room] They've got special effects! [Jeffrey continues singing in the background]
Helen Keller! The Musical,Kyle,What Butters? [Butters meets the others onstage]
Helen Keller! The Musical,Butters,"The kindergartners! They've got amazing stage effects. Pyrotechnics and what have yous. Why, it's a regular feast for the eyes!"
Helen Keller! The Musical,Wendy,"Oh, no!"
Helen Keller! The Musical,Clyde,We're never gonna outdo them now! [the kids begin to chatter amongst themselves]
Helen Keller! The Musical,Token,But what are we gonna do?
Helen Keller! The Musical,Cartman,"[Jeffrey continues his dirge] Calm down! Calm down! We can have special effects, too. Now, I know a lot is going wrong, but we've got to stick together to make this play work! [looks at Lamond] All of us! [Lamond crosses his arms]"
Helen Keller! The Musical,Jeffrey,"—and into your hands [the kids now pay attention to him] uh he... buh... [hums, then stops singing, stares, then gets up and walks offstage]"
Helen Keller! The Musical,Scene Description,"The South Park Community Theatre, the stage, later. Timmy is in another hallway trying to get Gobbles to hop through the hoop"
Helen Keller! The Musical,Timmy,"Gobbles! [Gobbles lifts his head and drops it away from Timmy] Hu-ugh, Gobbles! [they hear the door open. Timmy puts the hoop away and gathers Gobbles on his lap]"
Helen Keller! The Musical,Lamond,[peeks in] Little boy.
Helen Keller! The Musical,Timmy,[spins around] Timmy.
Helen Keller! The Musical,Lamond,"Yes, Tim. I feel I must speak with you. [walks up to Timmy] The others, well, they don't want you to know, but, oh, I don't know what to do. Should I tell you?"
Helen Keller! The Musical,Timmy,T-Timmih? [a bit afraid]
Helen Keller! The Musical,Lamond,I feel I'm the only one who can be honest with you. [genuflects next to Timmy] The animal shelter is on its way to...take your turkey away from you.
Helen Keller! The Musical,Timmy,Gobbles? [scared]
Helen Keller! The Musical,Lamond,"You see, they don't allow children in your... situation... to have wild animals as pets. You can't take him running, you can't take care of him. They... have to take it away."
Helen Keller! The Musical,Timmy,Gobbles!
Helen Keller! The Musical,Lamond,"They take wild pets away from people like you... and hand them over for experiments. And they're shocked, dissected, and flayed while they're still alive. And no matter where you go, the shelter people will find you. The only way for that turkey to avoid years of torture is for you to... let him go. Back into the wild. [listens for something] Oh no! Here they come now! [two men round the corner] Quick, go! And set your turkey free! I'll try to stall them."
Helen Keller! The Musical,Timmy,[turns and wheels away from the oncoming men] T-tim-mih.
Helen Keller! The Musical,Installer,"Eh, excuse me, we're here to install the water effects for the musical?"
Helen Keller! The Musical,Lamond,"Uh, the stage is right through there."
Helen Keller! The Musical,Installer,Thanks. [he and his partner walk towards the stage. Lamond looks after them as they leave]
Helen Keller! The Musical,Scene Description,"South Park, Cartman's house, night. Cartman is at his desk in his room rewriting a song."
Helen Keller! The Musical,Cartman,"Alright, got to write the new lyrics. Lemme see. [writes] no [writes] No. [writes] NO! [writes] God-damnit [takes the sheet and squeezes it into a wad]"
Helen Keller! The Musical,Jeffrey,"[enters the room] How is it going, Eric?"
Helen Keller! The Musical,Cartman,Terrible! [turns and faces Jeffrey] I can't write the lyrics for the third act! Nothing's coming to me.
Helen Keller! The Musical,Jeffrey,"Well, you know in theater sometimes, we try different tricks to get the creative juices flowing."
Helen Keller! The Musical,Cartman,Like what?
Helen Keller! The Musical,Jeffrey,Let's see. [closes the door behind him] Helen Keller was blind and deaf. [walks to Cartman's side desk] Perhaps you should see what it is like. Deprive yourself of your senses and see what plays inside your mind. Here. [turns Cartman around and puts a blindfold on him.]
Helen Keller! The Musical,Cartman,"Hey, that's not a bad idea."
Helen Keller! The Musical,Jeffrey,[puts some headphones on him] Just relax. Just try to let your mind wander and let the juices flow... [a long pause. then a series of images present themselves]
Helen Keller! The Musical,Scene Description,"First, the portrait of Helen Keller. Then nothing. Then Helen Keller again, then a banana split, then Helen again, then a human skull. Cartman is disturbed. Then Helen, the skull, another skull, Helen, a mummy whose hair moves a bit, bombs dropping from planes, a sinister clown, the banana split, a body being prepped for operation, the banana split, a wall with ""GO DEAD BE DEAD"" written in blood on it, a Russian show of military might, Helen, animals tearing at something, a riot, a close-up of a snake, an atomic bomb test, a lasik experiment. Cartman. The first skull, ""GO DEAD BE DEAD"", the skull, the experiment, the skull, the experiment, a woman wailing in the flames, open-heart surgery, a rat eating a dead rat, the banana split, a mouth being pulled open, Helen, a Nazi troop march, a fireman in an inferno, the Hindenburg bursting in flame, an alien opening its mouth and the camera zooms in... Cartman takes the blindfold and headphones off"
Helen Keller! The Musical,Cartman,"Oh, man!"
Helen Keller! The Musical,Jeffrey,"Well, did you see anything?"
Helen Keller! The Musical,Cartman,"No, just the same old crap I always see when I close my eyes."
Helen Keller! The Musical,Jeffrey,"...Oh, that's too bad."
Helen Keller! The Musical,Cartman,Wait. I've got it! The perfect setup for when Helen Keller's pet turkey jumps through the hoop of fire! [starts writing furiously] Yes! Yes! I have it now!
Helen Keller! The Musical,Scene Description,"South Park, residential street, day. Timmy rolls along dejected and turns to another street. He remembers what Lamond said as he rolls"
Helen Keller! The Musical,Lamond,[his head appears beside Timmy] The only way for that turkey to avoid years of torture is for you to... let him go... [fades as it echoes] let him go... let him go...[the head disappears]
Helen Keller! The Musical,Timmy,"[stops and lets Gobbles go] Gobbles! [points away so Gobbles could leave. Gobbles moves his head in that direction, but nothing else] Gobbles!! [turns around and rolls away. Gobbles follows him and gobbles. Timmy turns around again and face Gobbles] Gobbles. Gobbles! [points away again, turns and rolls away. Gobbles follows some more] Timmih. [a tear appears in his eye] Timmih, Gobbles. [turns away and rolls off, leaving Gobbles alone. The camera pulls back and moves to the first house on the right side. A man and son sit on their doorway]"
Helen Keller! The Musical,Boy,"Daddy, why did Mommy leave and go to heaven?"
Helen Keller! The Musical,Father,"She didn't want to, Kevin. She... had no choice."
Helen Keller! The Musical,Boy,But I miss her. [father and son start to cry. The camera moves to a bench on which two men sit]
Helen Keller! The Musical,Elderly man,"[his middle-aged son comforts him] I could have so much more with my life, son. I've wasted it. I've wasted it, not ever telling you and Mark that I love you. [both men start to cry. The camera moves to Heidi Turner crying over a dead dog.]"
