Fourth Grade,The Adults,Aww Oooo!
Fourth Grade,Nerd #1,"No. Pizza-face took all his equipment home to his mom's. Now, if you can go over there and get him to admit that he's wrong..."
Fourth Grade,Stan,"Alright, come on, guys. [the boys exit the basement and head up the stairs] Man, I can't believe we have to do this while Timmy's already back in time!"
Fourth Grade,Kyle,Yeah! Timmy's probably back in third grade right now living it up!
Fourth Grade,Scene Description,A tropical forest. Dinosaurs roam this land. A pteranodon flies overhead as a triceratops chases Timmy
Fourth Grade,Timmy,Timmah! Timmaaaaahhh!
Fourth Grade,Scene Description,"South Park, the ""Matterhorn,"" the plateau outside Garrison's cave. Mr. Garrison walks around Ms. Choksondik as she balances three books on each hand and one on her head while standing on only her left foot."
Fourth Grade,Mr. Garrison,"Alright, let's try it again."
Fourth Grade,Ms. Choksondik,"""Children, we are now going to do math problems."""
Fourth Grade,Mr. Garrison,"""But teacher, I don't want to do my math problems."""
Fourth Grade,Ms. Choksondik,"""Uuh! Ah, you will do them or else you'll be in very big trouble!"""
Fourth Grade,Mr. Garrison,"""Well, I'm not gong' to do it, teacher! You can just suck my balls!"""
Fourth Grade,Ms. Choksondik,"""Don't use that kind of language, young man!"""
Fourth Grade,Mr. Garrison,NOOO![Ms. Choksondik drops the books in terror]
Fourth Grade,Ms. Choksondik,[drops the books in terror] No??
Fourth Grade,Mr. Garrison,"Look, you can't counter a profane command with an idle threat! You must extinguish it with a vulgar suggestion! When a child says, ""Suck my balls,"" you say, ""Present them."""
Fourth Grade,Ms. Choksondik,Oh.
Fourth Grade,Mr. Garrison,"Now, let's try it again. [gathers the books up and repositions them on Ms. Choksondik's hands and head, then stands to her left. She resumes balancing on her left foot and concentrates.] SUCK MY BALLS!"
Fourth Grade,Ms. Choksondik,Pre-sent them?
Fourth Grade,Mr. Garrison,"[softens] Good. [Ms. Choksondik relaxes a bit and opens her eyes] Very good. [with authority] You're ready to move on to the next level. But I warn you: we will now be diving deep into your own psyche. These children know what scares you, and so we, too, must face those demons."
Fourth Grade,Ms. Choksondik,I'm ready. I'm not afraid.
Fourth Grade,Mr. Garrison,"[ominously, gruffly] You will be! You will be! [coughs] You will be."
Fourth Grade,Scene Description,"South Park, a house. Eight boys approach it: Stan, Kyle, Cartman, Butters, Kevin, Token, Tweek, and Clyde. Stan knocks"
Fourth Grade,Stan,"God-damnit, this is ridiculous."
Fourth Grade,Nerd #2,[opens the door angrily] What?!
Fourth Grade,Stan,"Dude, can you please just stop fighting with your friend and build another machine so we can travel back in time to the third grade?"
Fourth Grade,Nerd #2,"Look! There aren't 73 episodes of Star Trek, there are 72! ""The Menagerie"" was a 2-parter that counts as one episode! Pizza-face is wrong!"
Fourth Grade,Cartman,Who the hell cares?!
Fourth Grade,Nerd #2,I know! Why does he have to be such a dick about it?!
Fourth Grade,Kyle,Wouldn't it be better to just agree with him and forget the whole thing?
Fourth Grade,Nerd #2,"No, because he's WRONG!"
Fourth Grade,Kyle,"Look. You guys built a machine together that can bend time. If you'll just agree with him, you can build another one and usher in a whole new era of science!"
Fourth Grade,Nerd #2,And live in a world of 72 original Star Treks? I don't think so! I don't want to live in that world. [slams the door shut]
Fourth Grade,Cartman,"God, these guys are such geek dumbasses!"
Fourth Grade,Stan,I know.
Fourth Grade,Butters,"Yeh-hah. They don't even realize that ""The Menagerie"" originally was the pilot and later got split up into two episodes, eh ha ha. Ha ha. [pauses to see if anyone responds] Hahahaha, eh the, eh the dumbasses."
Fourth Grade,Stan,Wait a minute! I've got it. [knocks again]
Fourth Grade,Nerd #2,[opens the door angrily] What?!
Fourth Grade,Stan,"Dude, if you guys build another time machine, you can travel back in time and ask the creator of Star Trek how many episodes there were!"
Fourth Grade,Nerd #2,"[thinks for a moment] Dude, Jesus, you're right."
Fourth Grade,Scene Description,"South Park, the ""Matterhorn."" Mr. Garrison takes Ms. Choksondik to a gnarled, giant willow tree on a mountainside forest"
Fourth Grade,Mr. Garrison,This is it: The Tree of Insight. You must go in and face what lives inside.
Fourth Grade,Ms. Choksondik,What lives inside?
Fourth Grade,Mr. Garrison,Hell if I know. I wouldn't go in there.
Fourth Grade,Ms. Choksondik,"Oh, alrighty. [enters the base of the tree and through the hewn hallway, then sees a light at the other end.] What the? Why there's nothing in here but an exit to the other side! [peers through it, then pulls back] There's nothing in here at all. ...Oh, and I actually thought my mental demons would be in here. [thinks for a moment] Wait a minute. Maybe there's not supposed to be anything in here. Maybe I'm supposed to see that I alone do have the strength to reach the kids! [clenches her fists] I think I get it now! [walks out the other end]"
Fourth Grade,Mr. Garrison,"[bides his time and sighs] Hey, hurry up in there! [under his breath] Jesus. [knocks on the tree entrance] You're taking too long in the damn Tree of Insight! [looks at the entrance, then looks in] You in there?! [enters the hallway himself] Hey, where the hell did she go? [a few more steps, and rumbling begins] What the? [the entrance closes and a mirror Garrison, clean-shaven, appears. The unkempt Garrison shivers] Haaa! Who? Who are you?"
Fourth Grade,Clean Garrison,[surely] I am you. [approaches the unkempt Garrison] I am your gay side.
Fourth Grade,Unkempt Garrison,"My gay side, uh- I DON'T HAVE A GAY SIDE!!!"
Fourth Grade,Clean Garrison,You must face me at last. [the two of them just stare at each other]
Fourth Grade,Scene Description,"South Park, the ""Matterhorn,"" moments later..."
Fourth Grade,Unkempt Garrison,You aren't real! You can't be!
Fourth Grade,Clean Garrison,"It is me, your darkest fear. Your gay self, incarnate."
Fourth Grade,Unkempt Garrison,What do you want?
Fourth Grade,Clean Garrison,"I want you to not fight me anymore. To accept me, once and for all."
Fourth Grade,Unkempt Garrison,Why?
Fourth Grade,Clean Garrison,"Don't you see? [approached the unkempt one] All these years, your pain, your confusion, it comes from one place. Your denial of who you are. [his voice softens] Of who... we are."
Fourth Grade,Unkempt Garrison,But I'm not gay! Everyone just thinks I am!
Fourth Grade,Clean Garrison,"Oh, stop it! What about the time you looked at Counselor Mackey's penis in the men's locker room?!"
Fourth Grade,Unkempt Garrison,I was just comparing size!
Fourth Grade,Clean Garrison,For seven minutes?!
Fourth Grade,Unkempt Garrison,Aaa! [turns away in despair]
Fourth Grade,Clean Garrison,And what about the time you masturbated to the men's 100-meter swimming relay at the Olympics?!
Fourth Grade,Unkempt Garrison,I was beating off to the chicks!
