The Pandemic Special,Clyde,Good morning.
The Pandemic Special,Sharon,"They said he doesn't have any symptoms, and his tests are showing negative."
The Pandemic Special,Randy,Holy shit. [realizing that his DNA might have just saved Jimbo's life.]
The Pandemic Special,Scene Description,The barn. Randy walks up to a jar of Tegridy Weed.
The Pandemic Special,Randy,It works. It can help. [opens the jar and masturbates into it. Then he faces shelves and shelves of jars and realizes he has to masturbate into all of them.] Hoh boy. [he unzips his pants and drops them]
The Pandemic Special,Scene Description,"South Park Elementary, day. Kyle walks down the hall, Stan catches up to him"
The Pandemic Special,Stan,"Kyle, I need to talk to you."
The Pandemic Special,Kyle,Hey dude.
The Pandemic Special,Stan,I'm really worried. About Butters. I think he's sick.
The Pandemic Special,Kyle,You think he got the virus?
The Pandemic Special,Stan,"No! It's all the other stuff. The isolation and the uncertainty. [put his hands in his jacket pockets and wanders off] I'm just really worried what all the stuff around COVID is doing to some kids. You know, not every kid is like us. There's some kids who really can't take it anymore."
The Pandemic Special,Kyle,I know. This bullshit sucks. But Butters will be okay.
The Pandemic Special,Stan,[getting emotional] And what if he's not? What if Butters is actually starting to lose his mind? What if he feels his body shutting down right now?
The Pandemic Special,Kyle,You really think it's that bad?
The Pandemic Special,Stan,It's time for us to ask for help. From someone who has more authority at this school than these cops.
The Pandemic Special,Scene Description,"The White House, day. In the Oval Office, Pres. Garrison looks out the window, his back to the entrance"
The Pandemic Special,Male Aide 1,"Mr. President, the CDC is on the line. They need to speak with you urgently!"
The Pandemic Special,Garrison,Tell them to suck my asshole.
The Pandemic Special,Female Aide,"Mr. President, Dr. Fauci is on line 2 and the FDA chief is on line 3."
The Pandemic Special,Garrison,"Ooo! Tell Dr. Fauci to shove it up his ass, and let the FDA chief know he can eat shit off my balls."
The Pandemic Special,Male Aide 2,"Sir! Sir, you have an urgent call on line 4 from a Mr. Slave?"
The Pandemic Special,Garrison,"[turns around in his chair and wonders] Mr. Slave? Okay, go, gogogo! [the aides leave and Garrison clears his throat. He picks up the phone] Yes, this is the President of the entire United States."
The Pandemic Special,Stan,"Uh, hi, it's Stan Marsh."
The Pandemic Special,Garrison,Stan Marsh? Where's Mr. Slave?
The Pandemic Special,Stan,"I'm sorry. We had to get your attention. Listen, we're being kept at the school, and one of the students here is really sick."
The Pandemic Special,Garrison,"Oh, for Pete's sake, here we go again. [rolls his eyes and closes them] Just deal with it. I am busy."
The Pandemic Special,Stan,"Nono, Mr. President, please! You gotta come back to South Park. Our teachers are shooting people. Everyone's arguing and, and there's a facility outside of town that found the pangolin and are working on a vaccine! You might be able to stop the pandemic."
The Pandemic Special,Garrison,Why would I do that?
The Pandemic Special,Stan,...Huh?
The Pandemic Special,Garrison,"Stan, this is gonna be very difficult for a child to understand, but I made a promise to the American people- to get rid of all the Mexicans."
The Pandemic Special,Stan,But the pandemic isn't just killing Mexicans.
The Pandemic Special,Garrison,"It's killing a lot of them. I've gone over the statistics, Stan. [walks over to a chart showing U.S. COVID fatalities by race. Mexicans are by far the most affected ethnicity, and whites the least affected.] All I have to do now is sort of guide the avalanche in the right direction, and I'm fulfilling my promises to the American People. I was doing a crap job until this pandemic happened."
The Pandemic Special,Stan,You're just gonna sit there and not do anything?!
The Pandemic Special,Garrison,I am going to actively not do anything. And you can eat shit off my balls and die. [hangs up]
The Pandemic Special,Stan,God dammit!
The Pandemic Special,Scene Description,"Tegridy Farms, day. A line of cars waits at the entrance, with horns honking. A small booth is by the mailbox. Randy is using a cane to support himself. All that masturbation has weakened him"
The Pandemic Special,Randy,"Ogh. Ogh-o. [limps to the next customer] Okay, there you go. That's all I can sell you right now. Just make sure you smoke it, okay? Enjoy the special. [the customer drives off. He limps back to the small booth] Han-hang on, guys. I gotta prep some more. Just give me like four minutes. [enters the booth and masturbates into the next jar.]"
The Pandemic Special,Sharon,[comes out of the house] Randy?!
The Pandemic Special,Randy,Ogh.
The Pandemic Special,Sharon,Randy?!
The Pandemic Special,Randy,Just... [irked] what?!
The Pandemic Special,Sharon,"Randy, you've gotta get in here!"
The Pandemic Special,Randy,"I'm doing something important, Sharon! People need this right now!"
The Pandemic Special,Sharon,"Come upstairs. Something's wrong with Jimbo! [Randy slowly limps upstairs.] He's just been sleeping for days. [puts her mask on and goes to Jimbo's room] They said he was getting better. [Randy limps forward, holding his crotch] Last night his fever came back. And then a few hours ago, this thing appeared on his face."
The Pandemic Special,Sharon,"What thing? [Sharon slowly lowers Jimbo's mask, and ... it's Randy's mustache. Randy's jaw drops] Jimbo's never been able to grow a mustache."
The Pandemic Special,Randy,Huh. That's weird.
The Pandemic Special,Sharon,Should I call the doctor?
The Pandemic Special,Randy,No! Nonono! Don't call the doctor! They're busy. These are u-un- precedented times. W-we have no idea what caused this.
The Pandemic Special,Jimbo,[slowly] Special...
The Pandemic Special,Sharon,"What, Jimbo?"
The Pandemic Special,Jimbo,Pandemic... uh special...
The Pandemic Special,Sharon,[looks at Randy] Why's he talking about your special?
The Pandemic Special,Randy,"[rapidly] Everyone's talking about the special, Sharon. It's a big deal. He obviously needs it right now."
The Pandemic Special,Sharon,I'm gonna get the thermometer. [walks away. Randy quickly goes to Jimbo's side]
The Pandemic Special,Randy,"[whispering angrily] Just fucking shut up! You have no idea if it's because of the special. You could just be sick again 'cause you're a fat, fuckin' alcoholic, and I am not going to jail for you! [smacks him and walks away, holding his crotch and grimacing]"
The Pandemic Special,Scene Description,"Hell's Pass Hospital, day. A doctor is checking out the mustache on Gerald's face, which is different from the one he usually has."
The Pandemic Special,Dr. Doctor,And you say you've never had a mustache before?
The Pandemic Special,Gerald,No! Never! It just came outta nowhere!
The Pandemic Special,Sheila,"How can this happen, Doctor?"
The Pandemic Special,Dr. Doctor,Have you put anything toxic in your body lately? Any drugs or alcohol?
The Pandemic Special,Gerald,No! I mean... I've enjoyed a little of the Pandemic Special...
The Pandemic Special,Dr. Doctor,"Oh, nonono. That-that's totally fine."
The Pandemic Special,Nurse,"Doctor? You better come to the emergency room! [they both go to the ER, which is filled with patients, including women, who have the pandemic mustache.]"
The Pandemic Special,Dr. Doctor,Holy shit!
The Pandemic Special,Scene Description,Breaking news. COVID-19 UPDATE?
The Pandemic Special,Anchor Tom,"Another strain of COVID, or simply more COVID-related symptoms? A reported 1 in 10 people in Park County are experiencing mustaches, and nobody seems to know why. The Mayor has called for help from infectious disease experts, and Dr. Anthony Fauci arrived at South park Hospital today to give his advice."
The Pandemic Special,Scene Description,Hell's Pass Hospital entrance. Dr. Fauci addresses the crowd
The Pandemic Special,Dr. Fauci,"We aren't sure why some people are getting a mustache and some aren't, but we have to do all we can to avoid it becoming fashionable."
The Pandemic Special,Man 1,Will our chin diapers keep us safe?
The Pandemic Special,Dr. Fauci,"Yes, but we must wear them where the mustache would be. We need to wear them over our mouth and nose."
The Pandemic Special,Stephen,"Are you out of your mind? You expect people to wear a diaper over their nose? That's disgusting! Fuck you, Fauci!"
The Pandemic Special,Scene Description,Back to the news report
The Pandemic Special,Anchor Tom,"Citizens are asked to stay indoors and just try and relax, and maybe enjoy some of the Pandemic Special."
The Pandemic Special,Randy,Nooo! Shit! [Sharon has her hands over her mouth]
The Pandemic Special,Scene Description,"South Park, night. The school gym is shown from above. Twenty-nine students are sleeping there, each in his own circle. Stan is wide awake, looking at the ceiling. An officer sits in the coach's office looking at a jar of Tegridy Weed"
The Pandemic Special,Officer 4,"Nice. [Stan sits up. He looks to his left and sees Death staring back at him through a window, then crawls up to Butters and shakes him awake]"
The Pandemic Special,Stan,Butters. Butters!
The Pandemic Special,Butters,Wha?
The Pandemic Special,Stan,Don't worry. I'm going to save you!
The Pandemic Special,Butters,"Okay. Save me from what? [nods off, and Stan walks to the middle of the gym]"
The Pandemic Special,Stan,"Guys, guys! [claps. The kids begin to stir]"
The Pandemic Special,Students,What? Who is it?
The Pandemic Special,Stan,"Shhh. You guys, we have to get Butters out of here."
The Pandemic Special,Kyle,"Who else can we call, Stan?"
The Pandemic Special,Stan,No! We have to get him out of here! Now! We need to take him... to Build-A-Bear.
The Pandemic Special,Craig,Are you nuts??
The Pandemic Special,Stan,He has to go out and do something normal!
The Pandemic Special,Jimmy,"Stan, Build-A-Bear is currently by appointment only, and only a maximum party of four can visit at one time."
The Pandemic Special,Stan,"We can't wait around and wait for people to figure things out, okay?! It's not gonna happen! They just keep taking everything from him and saying it's for his own good! But who's to say he can't go out and have a little goddamn fun?! If we want things to go back to normal, then we just gotta go do it!"
The Pandemic Special,Cartman,"[stands up] Stan's right. If we want things to go back to normal, we have to do it ourselves."
The Pandemic Special,Stan,"They're just gonna be making more restrictions, and more rules, and who's gonna fight to go back to the way things were?"
The Pandemic Special,Cartman,I sure as hell will!
The Pandemic Special,Stan,"We can make things normal for Butters again, and make school the way it was!"
The Pandemic Special,Cartman,"The way it was! Online, in our own rooms!"
The Pandemic Special,Stan,"Wait, what? No, in a class, with real teachers!"
The Pandemic Special,Cartman,"Wait, what? What normal are you talking about?"
The Pandemic Special,Stan,"I'm talking about normal, like back in March. What normal are you talking about?"
The Pandemic Special,Cartman,"I'm talking about normal, like three days ago, when everything was awesome."
The Pandemic Special,Stan,Look it doesn't matter. We just gotta break the fuck out of here.
The Pandemic Special,Scene Description,"The hallways. Sef Furman runs down the hall; the police do not notice. Craig and Tweek follow the boy, then the Boy with Brown Hair and Red Shirt follows them. The rest of the class follows, including Timmy whose wheelchair moves loudly. At the front of the school, Jimmy heads towards the bolted doors with bolt cutters"
The Pandemic Special,Timmy,"TIMMAH! [cuts the bolt, and the chain drops to the floor. The kids rush out the door and pour out of the school triumphantly]"
The Pandemic Special,Scene Description,News Break. COVID-19 UPDATE
The Pandemic Special,Anchor Tom,"The new outbreak in South Park is spreading rapidly, and as highways into town close and governments consider a full lockdown, one question is on everyone's mind: where is the damn pangolin?! Some speculate the pangolin took its own life, while others think that- [something is being whispered in his ear] Sorry. Sorry, we're getting some breaking news. Oh, God. Students at South Park Elementary have broken quarantine and are now out on the loose!"
The Pandemic Special,Bill Keegan,"[outside the school, during the day] The fugitives broke out sometime last night. Teachers are reporting there's no cause for alarm, except that these kids have all been exposed to COVID [his voice gets more urgent] and could be running around spreading mustaches right now!"
The Pandemic Special,Woman,[hears this and screams] Aaaaaaaaow! [This sets off a mass panic]
The Pandemic Special,Man 2,"Super-spreaders! [drivers get into near-collisions, shoppers stock up on toilet paper and other goods, ]"
The Pandemic Special,Stocker,[notices a woman carrying two cans] One can of shaving cream per family! [Park County Shoes is broken into and looted]
The Pandemic Special,Stephen,"[he and Linda have their masks on as chin diapers] Butters?! Butters, you get back to quarantine or you are gonna be grounded!"
The Pandemic Special,Thomas,"Hey, Stotch! [Stephen looks over and sees that Thomas has his mask on properly] You heard what the scientist said! Get your diaper up over your mustache area!"
The Pandemic Special,Stephen,I'm not wearing a damn diaper over my nose!
The Pandemic Special,Mrs. Testaburger,Don't you care about people?
The Pandemic Special,Stephen,"Yeah, we care way more about what's right than you do, bitch! [walks up and punches her once, and she goes down. Thomas punches him in return] Oh! [a brawl breaks out in the street]"
The Pandemic Special,Scene Description,The Mayor's Office. She looks out over the rioting while she's on the phone
The Pandemic Special,Mayor McDaniels,"For Christ's sake, the entire town is in chaos! How the hell did you let those kids out of quarantine?!"
The Pandemic Special,Yates,"[at the school, with all his officers at attention] Don't blame this on us teachers! You opened the school and gave us barely enough resources to do our job!"
The Pandemic Special,Mayor McDaniels,Everyone is terrified of catching something from these super-spreaders!
The Pandemic Special,Yates,"Well, I don't know what you're gonna do, Mayor. You took all our funding away. You said our equipment was too extreme. Now, if we had some of that stuff back..."
The Pandemic Special,Officer 1,"Yeah, yeah, yeah, yeah."
The Pandemic Special,Yates,Tsst-tst-tst-ch-ch-ch!
The Pandemic Special,Mayor McDaniels,"We certainly don't want you, teachers, to be without every resource available. I'll write an executive order to get you everything you need."
The Pandemic Special,Yates,[hangs up] Boys? We are back in business!
The Pandemic Special,Officers,[cheering] YEAH! YEAH! YEAH! YEAH! YEAH!...
The Pandemic Special,Scene Description,The police roll-out with patrol cars and Peacemaker tanks. Motorcycle and equestrian units with semiautomatics join them. An officer arms a bazooka. K9 units join in. It's a massive show of force.
The Pandemic Special,Yates,"Possible COVID exposure at 4 o'clock! [the Boy with Brown Hair and Red Shirt is building a snowman. Yates gets on the bullhorn] You there. [the boy looks up] You are violating a mandated safer-inside order! Put down the snowball and get back to quarantine! [the boy drops the snowball] We've got a runner! [the police fire all their weapons and decimate the boy. Kenny and Annie Knitts run down the street and Kenny is shot to death. Two officers walk by Univers Coffee, then Stan, Kyle, Cartman, and Butters come out of hiding]"
The Pandemic Special,Stan,"Okay, all clear! Come on! Go go go! [Butters is lying down in a small wagon, the other three wheel him down the sidewalk] All right, you ready to have some fun, Butters?"
The Pandemic Special,Butters,"I sure am, fellas!"
The Pandemic Special,Kyle,Okay!
The Pandemic Special,Stan,"Shit shit, get back, back, back, back, back! [they hide in Parking Lot A. Death rides by and they come back out] Okay, all good. Come on. [They reach a plaza]"
The Pandemic Special,Kyle,"Dude, we made it."
The Pandemic Special,Stan,"Butters, Butters. [wakes Butters up] Look! [Butters looks up and sees Build-A-Bear Workshop]"
The Pandemic Special,Butters,Whoa! Is it really for reals?
The Pandemic Special,Stan,"Yeah, it's real. Come on! We got an appointment! [helps Butters out of the wagon. They reach the entrance, only to see James the shopkeeper closing the shop.] Oh, uh hey, excuse me. We had an appointment."
The Pandemic Special,James,"Oh no, s-sorry. We're closed."
The Pandemic Special,Stan,But I called. Y-you said you were open today for appointments.
The Pandemic Special,James,"Yeah, we had to shut down again. Somebody came into the store with a mustache."
The Pandemic Special,Kyle,A mustache?
The Pandemic Special,Stan,"Ple-hease, my friend has to build a bear."
The Pandemic Special,James,[walks away] I'm sorry! These are unprecedented times!
The Pandemic Special,Stan,"Ohoh, just give us one minute!"
The Pandemic Special,Butters,"Oh! Good job, Stan! Thanks for getting my hopes up, you asshole!"
The Pandemic Special,Kyle,"[walks up to Stan with Cartman] Come on, dude. We'd better get outta here before we're spotted."
The Pandemic Special,Stan,We can't go.
The Pandemic Special,Kyle,What do you mean?
The Pandemic Special,Stan,We don't have a choice. We're gonna have to break in.
The Pandemic Special,Kyle,And then do what?
The Pandemic Special,Stan,And then build him a bear.
The Pandemic Special,Cartman,"Without any employees? What, do you expect us to just, just... build our own bear?"
The Pandemic Special,Stan,"If we have to, yes!"
The Pandemic Special,Kyle,"Dude, you need people to help you do the stuffing and the closing. You don't- you don't actually build your own bear."
The Pandemic Special,Stan,I don't care! I'm not following the rules anymore!
The Pandemic Special,Scene Description,"Tegridy Farms, day. Randy is piling his unsold Tegridy Weed onto the company truck. After the second load, Sharon stops him."
The Pandemic Special,Sharon,What the hell are you doing?!
The Pandemic Special,Randy,I just... gotta tale all the Pandemic Special over to Thompson Lake and dump it.
The Pandemic Special,Sharon,Dump it? Why are you worrying about this right now?!
The Pandemic Special,Randy,"Because the Pandemic Special needs to end! A special has to end, Sharon, or else it's not really a ""special,"" is it?! [runs for some more weed]"
The Pandemic Special,Sharon,"Goddammit, Randy, our son is out in this chaos! [heads towards the driver's seat] This is not the time for you to be dealing with your fucking marijuana! [hops into the seat and closes the door] Somebody's gotta find him! [starts the engine]"
The Pandemic Special,Randy,"Nono, okay, okay, okay, hold on! I'm coming! [gets into the passenger seat] Maybe we can just drop the special by the lake on the way."
The Pandemic Special,Sharon,Fuck you!
The Pandemic Special,Scene Description,"Build-A-Bear Workshop, day. The boys have broken in"
The Pandemic Special,Stan,"Here we are, Butters! Look! You made it!"
The Pandemic Special,Butters,"Oh boy, is this a dream?"
The Pandemic Special,Stan,"No, it's not a dream! We are really here, and we are going to build you a bear! Which one you want? You want the panda? You want the Bronco koala?"
The Pandemic Special,Butters,The Caballero Grizzly.
The Pandemic Special,Stan,"Caballero Grizzly. [gets the materials needed] Okay, we just find the sh-shell and the uh, the outfit."
The Pandemic Special,Cartman,"Stan, you really need employee assistance with this."
The Pandemic Special,Stan,"It's gonna fucking work! Just fucking shut up! [take the shell to a stuffer] Okay! Okay, Butters. Look! [starts the machine] We're gonna put the stuffing in!"
The Pandemic Special,Butters,Wow!
The Pandemic Special,Stan,"Okay, uh, um... [starts pressing buttons. All of a sudden, the shell is pumped full of cotton and explodes]"
The Pandemic Special,Butters,Aaaah! God! Daaagh!
The Pandemic Special,Stan,It's okay! We can start over! We can start over! There'a do-over machine right over there! Look! [walks over to a shredder and drops the mangled bear in. The shredder has a window through which the bear is seen being destroyed.]
The Pandemic Special,Scene Description,South Park. The rioting continues. Sharon drives through it
The Pandemic Special,Sharon,"Stanley! Staaaaan! What if he's dead, Randy?!"
The Pandemic Special,Randy,"He's not dead, Sharon."
The Pandemic Special,Sharon,"Then why hasn't he even called?! [two people jump onto the truck, both with mustaches]"
The Pandemic Special,Man 3,"Hey, can we have some of that Pandemic Special?"
The Pandemic Special,Randy,No! [the men slip off the truck] Nobody needs the special right now! It's not helping! [looks out the passenger-side window] Oh my God. Oh God no.
The Pandemic Special,Sharon,"What?? [they see Applebee's closed, and two men carrying a table into a moving truck.]"
The Pandemic Special,Randy,"[sheds a tear] They got Applebee's too. [turns to Sharon] Drive me back to the farm, Sharon. I need to get something."
The Pandemic Special,Scene Description,"Build-A-Bear Workshop, day. Stan is trying to build another bear, but the cotton isn't going in"
The Pandemic Special,Stan,"God dammit! [looks out the window and sees Death there. Stan tries one more time to fill the shell, but the gust of air knocks him to the ground. Stan gets right back up to try again]"
The Pandemic Special,Kyle,"Dude, just let it go."
The Pandemic Special,Stan,"No, Kyle, we can't let Butters down!"
The Pandemic Special,Kyle,"[walks up to Stan] Stan, are you sure this is about Butters? 'Cause you seem really desperate to build a bear."
The Pandemic Special,Yates,[on his bullhorn outside] Attention protesting looters. [the boys look over and walk up to the entrance] Protesting slash looting is a violation of the Mayor's health order! You have five minutes to come out or we will have to take action
The Pandemic Special,Butters,"We gotta surrender, fellas. I'm honestly not having that much fun anyway."
The Pandemic Special,Stan,No! I'm not giving up!
The Pandemic Special,Yates,"All right, that was about five minutes. [on the bullhorn to the officers] Okay, boys! Light 'em up! [an officer aims a cannon at Kyle, who has his back to the window]"
The Pandemic Special,Randy,[steps into the cannon's scope] Wait! Everyone just stop!
The Pandemic Special,Yates,Who the hell is that?
The Pandemic Special,Randy,I have something that might change all of this! [reaches into a bag and pulls out the pangolin. The crowd gasps]
The Pandemic Special,Stephen,It's the pangolin.
The Pandemic Special,Thomas,Look!
The Pandemic Special,Other townsfolk,The pangolin! He's found it! The pangolin! Whoa!
The Pandemic Special,Randy,"This... is what you've all be looking for, right? Well here! Go ahead and do all the tests you want on it. You'll find out... everything you need to know. [the crowd murmurs]"
The Pandemic Special,Cartman,Oh no! You're not ending this pandemic! [grabs the pangolin and runs back inside the store]
The Pandemic Special,Kyle,Hey!
The Pandemic Special,Stan,"Cartman, no! [follows Cartman inside with Kyle. Cartman prepares to drop the pangolin into the store's shredder] Don't do it, Cartman! That thing is our only chance!"
The Pandemic Special,Cartman,"Your only chance! For your normal, not mine! I am not going back to school!"
The Pandemic Special,Stan,"You guys were right, okay? This hasn't been about Butters. I've been acting like this because I can't take these shutdowns anymore, and I'm scared what it's doing to me! I'm looking for whom to blame. Saying I'm trying to help people to make myself feel better because the truth is... I just wanna have fun again. [Cartman looks at him] I wanted to see that I could go out in the world and do things that I used to do, but I can't. I'm not any better, and I don't care any more than anyone else. And I did all this [tears well up in his eyes] because I just want my life back! I just want my life back... [begins to weep silently. Cartman's look softens. He looks at the shredder, at the boys, then steps down from the shredder, carries the pangolin out of the store, and gives it to the Chief Scientist]"
The Pandemic Special,Kyle,[awed by this act of mercy] I don't believe it.
The Pandemic Special,Stephen,"So, so what happens now?"
The Pandemic Special,Chief Scientist,"Now we have hope. We've learned that we might never get back our old lives, but by working together, we just might find a new way to- [a plume of flame attacks the pangolin and the Chief Scientist. Behind this act is President Garrison with a flamethrower. Garrison doesn't let up until the Chief Scientist no longer screams.]"
The Pandemic Special,Garrison,"Don't forget to get out and vote, everybody! Big election coming up. [turns around and walks away]"
The Pandemic Special,Scene Description,"Tegridy Farms, evening. A banner covers the sign: ""CLOSED DUE TO FIRES"""
The Pandemic Special,Radio reporter,"And since the students broke quarantine, all South Park residents are now exposed and under complete lockdown for the unforeseeable future. [a wall of flames looms in the distance. Death appears in the field, then gets on his bike and rides away. Randy looks at his phone. The lock screen has a picture of his family in it.]"
The Pandemic Special,Randy,"How do I even begin to apologize? You guys were right. I think all the marijuana really did go to my head. You said it: a drug is a drug, and... I'm not who I used to be. It's time for me to own up to everything. It's time everyone knew what started this pandemic. [walks into the house and upstairs, and enters his bedroom. He finds Sharon asleep and walks to the bed] Hey, Sharon, I need to talk to you. [sits down] I'm not as strong as you are, Sharon. I can't deal with hard times the way that you can. [Sharon sits up, and her new mustache is quite visible]"
The Pandemic Special,Sharon,"If you're ready to talk, I'm ready to listen, Randy. [Randy looks at her and has no words] What?"
The Pandemic Special,Randy,...You want nothing to do with the Pandemic Special.
The Pandemic Special,Sharon,"No. I don't smoke marijuana, Randy."
The Pandemic Special,Randy,Uh huh. [gets up and walks off]
The Pandemic Special,Sharon,"Well, what did you want to talk to me about?"
The Pandemic Special,Randy,I just... think maybe I'm gonna do a few more specials. You got some shit on your face. [leaves the room. Sharon reaches for her upper lip]
South ParQ Vaccination Special,Scene Description,"Walgreens, day. A generic club song can be heard coming from it. Richard Adler and Mr. Mackey arrive by car in the parking lot."
South ParQ Vaccination Special,Richard Adler,"Oof, I feel silly. They're not gonna let us in!"
South ParQ Vaccination Special,Mr. Mackey,"Will you just come on. You gotta loosen up, Mr. Adler."
South ParQ Vaccination Special,Richard Adler,But this is the most popular place in town right now!
South ParQ Vaccination Special,Mr. Mackey,"We can get in. Just comb your hair, you know, look your best. I can get us in. [they both put their masks on]"
South ParQ Vaccination Special,Scene Description,Front of Walgreens. Multiple people wait in line in order to get the COVID-19 vaccination. The Walgreens Bouncer is looking at his list.
South ParQ Vaccination Special,Man with Green Coat,"Come on, man. We've been waiting for hours. You guys have plenty of vaccinations in there, just let us in, man."
South ParQ Vaccination Special,Walgreens Bouncer,55 and older and first responders only. [Mr. Mackey and Adler arrive in front of Walgreens]
South ParQ Vaccination Special,Mr. Mackey,"Oh, uh, hey, uh, we'd like to get in there and get some vaccinations, mkay."
South ParQ Vaccination Special,Walgreens Bouncer,Are you on the list?
South ParQ Vaccination Special,Mr. Mackey,"Well, no, I'm not on the list. I tried to get on the list. I sat on my computer 30 nights in a row trying to make a vaccination appointment and get on the God damn list. Look, the thing is, we are school faculty, mkay. You gotta let us in."
South ParQ Vaccination Special,Stephen Stotch,"[from the back of the line] No, no, you have to let in people with health issues first! I'm a chain smoker and my wife is 39 pounds overweight."
South ParQ Vaccination Special,Unnamed Man 1,"I have a compromised immune system! I have genital warts, and I will show them to you."
South ParQ Vaccination Special,Walgreens Bouncer,"[now looking at the back of the line] Over 55, first responders and Group 2B only [he turns his look back to the list]. Now beat it [another unnamed man approaches the bouncer]!"
South ParQ Vaccination Special,Unnamed Man 2,"Hey, hey, man, I'm a friend of Dan Roberts -- he's a dental assistant in conifer..."
South ParQ Vaccination Special,Walgreens Bouncer,"Get the fuck outta here. I said you're not gettin' in! You're wasting your time! [an old woman approaches the entrance] Oh, hello, ma'am. Right this way. [the bouncers opens the stanchion and lets the old woman in]"
South ParQ Vaccination Special,Everyone in line,Awwww!
South ParQ Vaccination Special,Elderly Woman,[on her way inside she raises both her hands and shows the middle fingers to the crowd] 79 bitchessss!
South ParQ Vaccination Special,Everyone in line,Boo!
South ParQ Vaccination Special,Man with Green Coat,You suck. You suck you stupid old people!
South ParQ Vaccination Special,Scene Description,"A black screen appears writing ""Vaccination Special"". The screen fades away and South Park Elementary is shown. Kyle and Stan are washing their hands at the wash stations in the hallways."
South ParQ Vaccination Special,Cartman,"[from the back] Stan, Kyle, can you come over here real quick?"
South ParQ Vaccination Special,Stan,"Recess is almost over, dude."
South ParQ Vaccination Special,Cartman,"Just come here please, it's important."
South ParQ Vaccination Special,Scene Description,"South Park Elementary Bathrooms. Kenny McCormick looks sad and Cartman approaches him, while Stan and Kyle remain in the back."
South ParQ Vaccination Special,Cartman,"Hey, Kenny. I got the guys, okay? You wanna talk or you want me to talk?"
South ParQ Vaccination Special,Kenny,(You can talk.)
South ParQ Vaccination Special,Cartman,"[while looking at Stan and Kyle] You guys, Kenny and I are feeling like, even though things are supposedly getting better with the pandemic, we're more depressed than ever. [Cartman and Kenny turn around to Stan and Kyle and Cartman lowers down his mask] The four of us just seem really different towards each other and we're worried the past year has put a strain to our broship. Kenny was saying he wants to do everything he can to save the broship, and I agree with him. So we had a really positive talk about it during lunch, and Kenny shared some ideas of how maybe we can navigate through this, and I think we came up with a great idea. Okay, so, you know how chicks have periods right?"
South ParQ Vaccination Special,Kyle,What?
South ParQ Vaccination Special,Cartman,"It's true! Women have ""periods"" where they bleed from their vagina. Remember earlier today, Stan, you said our teacher was wearing white? So when we talked I said to Kenny ""Oh, what if the teacher got her period?"" which cheered us up a bit and then we realized today was hamburger day for lunch. There was lots of ketchup laying around. So me and Kenny snuck into the classroom during recess and put it on the teacher's chair, and now when we get back to class there's gonna be a bunch of ketchup [Stan and Kyle look at each other] on the teacher's chair and when she stands up it's gonna totally look like she got her period! [Kenny laughs] It's going to be amazing, you guys. I'm so excited!"
South ParQ Vaccination Special,Scene Description,"Classroom. The bell rings and the teacher, Mrs. Nelson, arrives in class."
South ParQ Vaccination Special,Mrs. Nelson,"Okay, class. Hope everyone had a good lunch. [Cartman struggles to hold in his laughter] Okay, how did everyone do on their fractions? Are there any questions? [Mrs. Nelson approaches her desk] I know the last few were a little tricky. [she sits on the chair and a squish sound it's heard]"
South ParQ Vaccination Special,Cartman,"[barely holding his laugh and whispering] Shh! Kyle, Kyle! Shhh! [Kyle rolls his eyes]"
South ParQ Vaccination Special,Bebe,"Mrs. Nelson, I couldn't figure out number 14."
South ParQ Vaccination Special,Mrs. Nelson,"Number 14. Okay. Well, let's look at it together. [Mrs. Nelson gets up from her chair and when she turns around, a big red stain is seen on her back on the skirt.]"
South ParQ Vaccination Special,Kids,Ewwwwww! [Cartman and Kenny laugh loudly]
South ParQ Vaccination Special,Mrs. Nelson,What? [she sees the stain and panics] What? What is -- What is this?
South ParQ Vaccination Special,Cartman,"Oh, my God. [Cartman points at her and takes out his phone, starting to film her] Teacher had her period. [he and Kenny continue to laugh loudly]"
South ParQ Vaccination Special,Mrs. Nelson,"[embarrassed] Kids, something must be wrong with me. [she starts to panic even more when Cartman and Kenny can't stop laughing] Is this a prank?"
South ParQ Vaccination Special,Cartman,"[continuing to film with his phone] That's nasty, teacher. Don't have your period during class time!"
South ParQ Vaccination Special,Mrs. Nelson,"[in the same panic state] Do you think this is funny? I come here, and I risk my life to teach you? And I can't even get a vaccination because teachers aren't important enough?! [Cartman and Kenny stop laughing] And I get on the websites and can't even get a straight answer on when I'll get vaccinated?! Well, I'm over it! [she opens the classroom door] I can't do this anymore! [she leaves the classroom]"
South ParQ Vaccination Special,Cartman,"You guys, I think that might have been the single most hilarious thing we've ever done."
South ParQ Vaccination Special,Scene Description,"The boys walk along the street past the Stotch residence, coming from school. Cartman looks on his phone."
South ParQ Vaccination Special,Cartman,"Which one should we post, you guys? Should we post the one where you can see the most blood on teacher's ass or the one where she makes the dumbest face?"
South ParQ Vaccination Special,Kyle,"[the boys suddenly stop, right in front of Butters' house] You're not posting anything! Do you have any idea what you've done?"
South ParQ Vaccination Special,Kenny,"(What do you mean, dude?)"
South ParQ Vaccination Special,Stan,"Yeah, we finally get back to school and have some sense of normalcy and you guys make the teacher walk out!"
South ParQ Vaccination Special,Cartman,"Hey, at least Kenny and I were doing something to try and get that spark back. You know 30 percent of broships didn't make it through the pandemic?"
