The Pandemic Special,Clyde,Good morning.
The Pandemic Special,Randy,"Ha ha, ha whoa! [he's enjoying it rather thoroughly, then he snaps back to the present] Shit! [runs out of the farmhouse]"
The Pandemic Special,Scene Description,"South Park Elementary. A sign over the entrance reads ""Welcome Back Students!"" The 4th Grade classroom is shown, with 12 decks instead of the usual 24. The desks are divided into groups of two. Each desk has a protective plastic shield in front and to the right, with a slot at the bottom for school work to be handed through. The officers are wearing clear plastic face shields, the kids are all wearing face masks"
The Pandemic Special,Yates.,"Alright, children, welcome back to class. I'm your new teacher, Detective Harris, and this is our homeroom teacher's assistant, Officer Johnston. Let's start the day off with some match. Does anyone understand math? Who would like to lead the class with some math? [the sounds of a squealing pig approach the classroom door. The door opens, and Cartman is being carried in by two officers. He's mumbling gibberish, but then gets out a few sentences.]"
The Pandemic Special,Cartman,Pandemic! There's a pandemic! You can't make me go to school! [the officers tie him to his chair] You can't! Argh! Araraaagh! Nonono! Nonono! You can't make me! You hear me?!
The Pandemic Special,Yates,"I don't know if I can do this, Mitch. I fuckin' hate kids. I can't be a teacher."
The Pandemic Special,Mitch,"It's all we got, sir [steps forward and assumes an assertive stance] Let me try. Kids! Alright, come on! Let's settle down! Now we're gonna do some fingerpaints. You got that? You're gonna fingerpaint... [reads from a small notebook] a marsupial of your choice or a fun thing you did over the summer."
The Pandemic Special,Cartman,"You can't make us stay here! This is a violation of our freedom! Who's with me, guys?!"
The Pandemic Special,Mitch,"Now, listen! We're gonna start fingerpaintin' right now!"
The Pandemic Special,Cartman,"Oh my God, I forgot how much it sucks to be around everybody! I think I'm gonna be sick, all over Kyle! [pretends to vomit and cough over Kyle]"
The Pandemic Special,Kyle,Fuck you! [Kyle jumps out of his seat and beats him up. The other kids start cheering]
The Pandemic Special,Mitch,"That's enough! [Harris beings out his service revolver and aims. Mitch does as well, and they fire away. A shot goes through Token's front shield. A few more follow, and he takes a shot in the arm]"
The Pandemic Special,Token,Ow! [his left hand is over the wound. He falls out of his seat and onto the floor. Gunfire and cheering stop]
The Pandemic Special,Yates,Got 'im!
The Pandemic Special,Scene Description,"South Park Viral Research Center, day. The pangolin is in its cage. A scientist shines a sensor onto it for a second"
The Pandemic Special,Chief Scientist,"[leads a new research team in and walks to the cage] Aaand here it is. This is the pangolin we tracked down in China, the animal that could lead us to a vaccine. The mysteries of COVID can be unlocked by our studies of this creature. I'll just ask you all to keep a good distance away. Obviously, we can't let anything happen to this pangolin. [Randy sneaks up behind the scientists] You see, this pangolin's DNA has mutated, which is what we believe started it all."
The Pandemic Special,Scientist 1,"The pangolin has mutated, how?"
The Pandemic Special,Chief Scientist,"We're not completely sure, but we believe now that something somehow... got its DNA up into the pangolin."
The Pandemic Special,Scientist 2,How exactly could that happen?
The Pandemic Special,Chief Scientist,Well i-it's almost like another creature somehow inserted its DNA up into the pangolin.
The Pandemic Special,Scientist 3,Perhaps some other species somehow mated with the pangolin?
The Pandemic Special,Scientist 2,"Oh, come on! What kind of animal would have sex with a pangolin?"
The Pandemic Special,Scientist 1,Yeah! Look how ugly that thing is!
The Pandemic Special,Scientists,"[chuckle at the possibility] Yeah, yeah."
The Pandemic Special,Randy,"Okay, Okay."
