"Are You There God? It's Me, Jesus",Jesus,"[turns off the TV] Oh no! Are you there, God? Father, will you please reconsider and show up tomorrow? [no answer] ...Hello?"
"Are You There God? It's Me, Jesus",Scene Description,"New Year's Eve, morning. Stan's radio alarm goes off"
"Are You There God? It's Me, Jesus",Sharon,"Stanley. [Stan awakes. A beard is forming] Wake up, honey. It's time to leave for Las Vegas. [he jumps out of bed and walks past a Terrance and Phillip full-length mirror. He stops, walks backwards, and looks at his reflection, strokes his sparse beard, turns to look at himself from the side...]"
"Are You There God? It's Me, Jesus",Stan,"Who-o-oa, du-ude. I've got boobs."
"Are You There God? It's Me, Jesus",Scene Description,"Las Vegas, New Year's Eve, 1999, night. The stage area. The crowds erupts in anticipation"
"Are You There God? It's Me, Jesus",Cartman,"[walks in with Kyle] Hey, Las Vegas is a pretty cool place for us mature people. [Jesus takes the stage and speaks]"
"Are You There God? It's Me, Jesus",Jesus,"Alright, people. Are we ready to rock the millennium?! [the crowd roars. Jesus steps backstage and prays] Father in heaven, please let tonight's show go well. Please make them like it."
"Are You There God? It's Me, Jesus",Kyle,"[Butters is already next to Cartman] Hey, here comes Stan."
"Are You There God? It's Me, Jesus",Stan,"[walks up, with a deep boy voice] Have I missed anything?"
"Are You There God? It's Me, Jesus",Cartman,"Wow, Stan, you really got some nice titties there."
"Are You There God? It's Me, Jesus",Kyle,"Did you get your period yet, Stan?"
"Are You There God? It's Me, Jesus",Stan,"No. I didn't, but-"
"Are You There God? It's Me, Jesus",Cartman,"Buh- Don't worry. You'll get it someday. Come on, Kyle. Let's go see what kind of tampons they have here in Las Vegas. [he and Kyle walk off]"
"Are You There God? It's Me, Jesus",Jesus,"Well, I tell you one thing. I sure as heck am excited. We've got about four hours to the new year, and so I think it's time to START IT UP! Ladies and gentlemen, as promised, Mr. Rod ""Do You Think I'm Sexy?"" Stewart! [the curtains open as Jesus steps aside. The nurse rolls Rod up to the mic and walks away as the band plays. The crowd has no reaction. The band pauses after a while, so Rod can sing]"
"Are You There God? It's Me, Jesus",Rod,"O-o-oh. [the band riffs a bit] O-oh. [the band plays on. Jesus keeps time] O-o-o-oh. Be-eh-o-o-or. [Stan walks around and then sits on a curb, truly depressed. Rod continues to sing unintelligibly]"
"Are You There God? It's Me, Jesus",Jimbo,"[disgusted] Whoa, man."
"Are You There God? It's Me, Jesus",Rod,Oh. Uh pooped 'em. [the band resumes play as the nurse brings a bucket on stage and checks him out]
"Are You There God? It's Me, Jesus",Mr. Garrison,This sucks balls!
"Are You There God? It's Me, Jesus",Blonde,Yeah!
"Are You There God? It's Me, Jesus",Man 7,"Alright, enough of this! Bring out God!"
"Are You There God? It's Me, Jesus",Man 9,Yeah!
"Are You There God? It's Me, Jesus",Jesus,Oh no.
"Are You There God? It's Me, Jesus",Crowd,We want God! We want God! We want God!
"Are You There God? It's Me, Jesus",Jesus,"[""We want God""] Please, Father. Do something."
"Are You There God? It's Me, Jesus",Crowd,We want God!
